datetime,county,state,fips,cases,deaths
05/01/2020,Cass,North Dakota,38017,542,16
05/02/2020,Cass,North Dakota,38017,572,17
05/03/2020,Cass,North Dakota,38017,605,18
05/04/2020,Cass,North Dakota,38017,630,18
05/05/2020,Cass,North Dakota,38017,643,18
05/06/2020,Cass,North Dakota,38017,686,23
05/07/2020,Cass,North Dakota,38017,709,23
05/08/2020,Cass,North Dakota,38017,752,24
05/09/2020,Cass,North Dakota,38017,781,26
05/10/2020,Cass,North Dakota,38017,805,26
05/11/2020,Cass,North Dakota,38017,821,27
05/12/2020,Cass,North Dakota,38017,866,29
05/13/2020,Cass,North Dakota,38017,935,31
05/14/2020,Cass,North Dakota,38017,991,31
05/15/2020,Cass,North Dakota,38017,1032,32
05/16/2020,Cass,North Dakota,38017,1106,32
05/17/2020,Cass,North Dakota,38017,1147,33
05/18/2020,Cass,North Dakota,38017,1173,33
05/19/2020,Cass,North Dakota,38017,1229,34
05/20/2020,Cass,North Dakota,38017,1277,38
05/21/2020,Cass,North Dakota,38017,1370,40
05/22/2020,Cass,North Dakota,38017,1442,41
05/23/2020,Cass,North Dakota,38017,1487,41
05/24/2020,Cass,North Dakota,38017,1528,42
05/25/2020,Cass,North Dakota,38017,1564,43
05/26/2020,Cass,North Dakota,38017,1580,43
05/27/2020,Cass,North Dakota,38017,1596,45
05/28/2020,Cass,North Dakota,38017,1632,46
05/29/2020,Cass,North Dakota,38017,1661,48
05/30/2020,Cass,North Dakota,38017,1685,49
05/31/2020,Cass,North Dakota,38017,1705,50
06/01/2020,Cass,North Dakota,38017,1744,50
06/02/2020,Cass,North Dakota,38017,1762,54
06/03/2020,Cass,North Dakota,38017,1783,55
06/04/2020,Cass,North Dakota,38017,1803,55
06/05/2020,Cass,North Dakota,38017,1834,59
06/06/2020,Cass,North Dakota,38017,1880,60
06/07/2020,Cass,North Dakota,38017,1911,60
06/08/2020,Cass,North Dakota,38017,1917,60
06/09/2020,Cass,North Dakota,38017,1930,60
06/10/2020,Cass,North Dakota,38017,1958,61
06/11/2020,Cass,North Dakota,38017,1984,62
06/12/2020,Cass,North Dakota,38017,2006,62
06/13/2020,Cass,North Dakota,38017,2037,62
06/14/2020,Cass,North Dakota,38017,2044,62
06/15/2020,Cass,North Dakota,38017,2058,62
06/16/2020,Cass,North Dakota,38017,2067,62
06/17/2020,Cass,North Dakota,38017,2084,62
06/18/2020,Cass,North Dakota,38017,2091,63
06/19/2020,Cass,North Dakota,38017,2104,64
06/20/2020,Cass,North Dakota,38017,2118,64
06/21/2020,Cass,North Dakota,38017,2138,64
06/22/2020,Cass,North Dakota,38017,2143,64
06/23/2020,Cass,North Dakota,38017,2146,65
06/24/2020,Cass,North Dakota,38017,2165,65
06/25/2020,Cass,North Dakota,38017,2171,65
06/26/2020,Cass,North Dakota,38017,2181,65
06/27/2020,Cass,North Dakota,38017,2193,65
06/28/2020,Cass,North Dakota,38017,2208,66
06/29/2020,Cass,North Dakota,38017,2233,66
06/30/2020,Cass,North Dakota,38017,2245,66
07/01/2020,Cass,North Dakota,38017,2260,66
07/02/2020,Cass,North Dakota,38017,2277,66
07/03/2020,Cass,North Dakota,38017,2295,66
07/04/2020,Cass,North Dakota,38017,2323,66
07/05/2020,Cass,North Dakota,38017,2334,66
07/06/2020,Cass,North Dakota,38017,2351,66
07/07/2020,Cass,North Dakota,38017,2358,69
07/08/2020,Cass,North Dakota,38017,2373,70
07/09/2020,Cass,North Dakota,38017,2402,70
07/10/2020,Cass,North Dakota,38017,2421,70
07/11/2020,Cass,North Dakota,38017,2442,72
07/12/2020,Cass,North Dakota,38017,2464,72
07/13/2020,Cass,North Dakota,38017,2492,72
07/14/2020,Cass,North Dakota,38017,2503,73
07/15/2020,Cass,North Dakota,38017,2522,73
07/16/2020,Cass,North Dakota,38017,2547,73
07/17/2020,Cass,North Dakota,38017,2584,73
07/18/2020,Cass,North Dakota,38017,2613,73
07/19/2020,Cass,North Dakota,38017,2639,73
07/20/2020,Cass,North Dakota,38017,2663,73
07/21/2020,Cass,North Dakota,38017,2673,74
07/22/2020,Cass,North Dakota,38017,2715,75
07/23/2020,Cass,North Dakota,38017,2734,75
07/24/2020,Cass,North Dakota,38017,2762,75
07/25/2020,Cass,North Dakota,38017,2765,75
