datetime,county,state,fips,cases,deaths,casecount
05/01/2020,Cass,North Dakota,38017,542,16,15
05/02/2020,Cass,North Dakota,38017,572,17,30
05/03/2020,Cass,North Dakota,38017,605,18,33
05/04/2020,Cass,North Dakota,38017,630,18,25
05/05/2020,Cass,North Dakota,38017,643,18,13
05/06/2020,Cass,North Dakota,38017,686,23,43
05/07/2020,Cass,North Dakota,38017,709,23,23
05/08/2020,Cass,North Dakota,38017,752,24,43
05/09/2020,Cass,North Dakota,38017,781,26,29
05/10/2020,Cass,North Dakota,38017,805,26,24
05/11/2020,Cass,North Dakota,38017,821,27,16
05/12/2020,Cass,North Dakota,38017,866,29,45
05/13/2020,Cass,North Dakota,38017,935,31,69
05/14/2020,Cass,North Dakota,38017,991,31,56
05/15/2020,Cass,North Dakota,38017,1032,32,41
05/16/2020,Cass,North Dakota,38017,1106,32,74
05/17/2020,Cass,North Dakota,38017,1147,33,41
05/18/2020,Cass,North Dakota,38017,1173,33,26
05/19/2020,Cass,North Dakota,38017,1229,34,56
05/20/2020,Cass,North Dakota,38017,1277,38,48
05/21/2020,Cass,North Dakota,38017,1370,40,93
05/22/2020,Cass,North Dakota,38017,1442,41,72
05/23/2020,Cass,North Dakota,38017,1487,41,45
05/24/2020,Cass,North Dakota,38017,1528,42,41
05/25/2020,Cass,North Dakota,38017,1564,43,36
05/26/2020,Cass,North Dakota,38017,1580,43,16
05/27/2020,Cass,North Dakota,38017,1596,45,16
05/28/2020,Cass,North Dakota,38017,1632,46,36
05/29/2020,Cass,North Dakota,38017,1661,48,29
05/30/2020,Cass,North Dakota,38017,1685,49,24
05/31/2020,Cass,North Dakota,38017,1705,50,20
06/01/2020,Cass,North Dakota,38017,1744,50,39
06/02/2020,Cass,North Dakota,38017,1762,54,18
06/03/2020,Cass,North Dakota,38017,1783,55,21
06/04/2020,Cass,North Dakota,38017,1803,55,20
06/05/2020,Cass,North Dakota,38017,1834,59,31
06/06/2020,Cass,North Dakota,38017,1880,60,46
06/07/2020,Cass,North Dakota,38017,1911,60,31
06/08/2020,Cass,North Dakota,38017,1917,60,6
06/09/2020,Cass,North Dakota,38017,1930,60,13
06/10/2020,Cass,North Dakota,38017,1958,61,28
06/11/2020,Cass,North Dakota,38017,1984,62,26
06/12/2020,Cass,North Dakota,38017,2006,62,22
06/13/2020,Cass,North Dakota,38017,2037,62,31
06/14/2020,Cass,North Dakota,38017,2044,62,7
06/15/2020,Cass,North Dakota,38017,2058,62,14
06/16/2020,Cass,North Dakota,38017,2067,62,9
06/17/2020,Cass,North Dakota,38017,2084,62,17
06/18/2020,Cass,North Dakota,38017,2091,63,7
06/19/2020,Cass,North Dakota,38017,2104,64,13
06/20/2020,Cass,North Dakota,38017,2118,64,14
06/21/2020,Cass,North Dakota,38017,2138,64,20
06/22/2020,Cass,North Dakota,38017,2143,64,5
06/23/2020,Cass,North Dakota,38017,2146,65,3
06/24/2020,Cass,North Dakota,38017,2165,65,19
06/25/2020,Cass,North Dakota,38017,2171,65,6
06/26/2020,Cass,North Dakota,38017,2181,65,10
06/27/2020,Cass,North Dakota,38017,2193,65,12
06/28/2020,Cass,North Dakota,38017,2208,66,15
06/29/2020,Cass,North Dakota,38017,2233,66,25
06/30/2020,Cass,North Dakota,38017,2245,66,12
07/01/2020,Cass,North Dakota,38017,2260,66,15
07/02/2020,Cass,North Dakota,38017,2277,66,17
07/03/2020,Cass,North Dakota,38017,2295,66,18
07/04/2020,Cass,North Dakota,38017,2323,66,28
07/05/2020,Cass,North Dakota,38017,2334,66,11
07/06/2020,Cass,North Dakota,38017,2351,66,17
07/07/2020,Cass,North Dakota,38017,2358,69,7
07/08/2020,Cass,North Dakota,38017,2373,70,15
07/09/2020,Cass,North Dakota,38017,2402,70,29
07/10/2020,Cass,North Dakota,38017,2421,70,19
07/11/2020,Cass,North Dakota,38017,2442,72,21
07/12/2020,Cass,North Dakota,38017,2464,72,22
07/13/2020,Cass,North Dakota,38017,2492,72,28
07/14/2020,Cass,North Dakota,38017,2503,73,11
07/15/2020,Cass,North Dakota,38017,2522,73,19
07/16/2020,Cass,North Dakota,38017,2547,73,25
07/17/2020,Cass,North Dakota,38017,2584,73,37
07/18/2020,Cass,North Dakota,38017,2613,73,29
07/19/2020,Cass,North Dakota,38017,2639,73,26
07/20/2020,Cass,North Dakota,38017,2663,73,24
07/21/2020,Cass,North Dakota,38017,2673,74,10
07/22/2020,Cass,North Dakota,38017,2715,75,42
07/23/2020,Cass,North Dakota,38017,2734,75,19
07/24/2020,Cass,North Dakota,38017,2762,75,28
07/25/2020,Cass,North Dakota,38017,2765,75,3
07/26/2020,Cass,North Dakota,38017,2794,75,29
07/27/2020,Cass,North Dakota,38017,2816,75,22
07/28/2020,Cass,North Dakota,38017,2841,75,25
07/29/2020,Cass,North Dakota,38017,2850,76,9
07/30/2020,Cass,North Dakota,38017,2872,76,22
