datetime,county,state,fips,cases,deaths,day,elat,elong
05/01/2020,Cass,North Dakota,38017,542,16,1,47.8772,-96.7898
05/02/2020,Cass,North Dakota,38017,572,17,2,47.8772,-96.7898
05/03/2020,Cass,North Dakota,38017,605,18,3,47.8772,-96.7898
05/04/2020,Cass,North Dakota,38017,630,18,4,47.8772,-96.7898
05/05/2020,Cass,North Dakota,38017,643,18,5,47.8772,-96.7898
05/06/2020,Cass,North Dakota,38017,686,23,6,47.8772,-96.7898
05/07/2020,Cass,North Dakota,38017,709,23,7,47.8772,-96.7898
05/08/2020,Cass,North Dakota,38017,752,24,8,47.8772,-96.7898
05/09/2020,Cass,North Dakota,38017,781,26,9,47.8772,-96.7898
05/10/2020,Cass,North Dakota,38017,805,26,10,47.8772,-96.7898
05/11/2020,Cass,North Dakota,38017,821,27,11,47.8772,-96.7898
05/12/2020,Cass,North Dakota,38017,866,29,12,47.8772,-96.7898
05/13/2020,Cass,North Dakota,38017,935,31,13,47.8772,-96.7898
05/14/2020,Cass,North Dakota,38017,991,31,14,47.8772,-96.7898
05/15/2020,Cass,North Dakota,38017,1032,32,15,47.8772,-96.7898
05/16/2020,Cass,North Dakota,38017,1106,32,16,47.8772,-96.7898
05/17/2020,Cass,North Dakota,38017,1147,33,17,47.8772,-96.7898
05/18/2020,Cass,North Dakota,38017,1173,33,18,47.8772,-96.7898
05/19/2020,Cass,North Dakota,38017,1229,34,19,47.8772,-96.7898
05/20/2020,Cass,North Dakota,38017,1277,38,20,47.8772,-96.7898
05/21/2020,Cass,North Dakota,38017,1370,40,21,47.8772,-96.7898
05/22/2020,Cass,North Dakota,38017,1442,41,22,47.8772,-96.7898
05/23/2020,Cass,North Dakota,38017,1487,41,23,47.8772,-96.7898
05/24/2020,Cass,North Dakota,38017,1528,42,24,47.8772,-96.7898
05/25/2020,Cass,North Dakota,38017,1564,43,25,47.8772,-96.7898
05/26/2020,Cass,North Dakota,38017,1580,43,26,47.8772,-96.7898
05/27/2020,Cass,North Dakota,38017,1596,45,27,47.8772,-96.7898
05/28/2020,Cass,North Dakota,38017,1632,46,28,47.8772,-96.7898
05/29/2020,Cass,North Dakota,38017,1661,48,29,47.8772,-96.7898
05/30/2020,Cass,North Dakota,38017,1685,49,30,47.8772,-96.7898
05/31/2020,Cass,North Dakota,38017,1705,50,31,47.8772,-96.7898
06/01/2020,Cass,North Dakota,38017,1744,50,32,47.8772,-96.7898
06/02/2020,Cass,North Dakota,38017,1762,54,33,47.8772,-96.7898
06/03/2020,Cass,North Dakota,38017,1783,55,34,47.8772,-96.7898
06/04/2020,Cass,North Dakota,38017,1803,55,35,47.8772,-96.7898
06/05/2020,Cass,North Dakota,38017,1834,59,36,47.8772,-96.7898
06/06/2020,Cass,North Dakota,38017,1880,60,37,47.8772,-96.7898
06/07/2020,Cass,North Dakota,38017,1911,60,38,47.8772,-96.7898
06/08/2020,Cass,North Dakota,38017,1917,60,39,47.8772,-96.7898
06/09/2020,Cass,North Dakota,38017,1930,60,40,47.8772,-96.7898
06/10/2020,Cass,North Dakota,38017,1958,61,41,47.8772,-96.7898
06/11/2020,Cass,North Dakota,38017,1984,62,42,47.8772,-96.7898
06/12/2020,Cass,North Dakota,38017,2006,62,43,47.8772,-96.7898
06/13/2020,Cass,North Dakota,38017,2037,62,44,47.8772,-96.7898
06/14/2020,Cass,North Dakota,38017,2044,62,45,47.8772,-96.7898
06/15/2020,Cass,North Dakota,38017,2058,62,46,47.8772,-96.7898
06/16/2020,Cass,North Dakota,38017,2067,62,47,47.8772,-96.7898
06/17/2020,Cass,North Dakota,38017,2084,62,48,47.8772,-96.7898
06/18/2020,Cass,North Dakota,38017,2091,63,49,47.8772,-96.7898
06/19/2020,Cass,North Dakota,38017,2104,64,50,47.8772,-96.7898
06/20/2020,Cass,North Dakota,38017,2118,64,51,47.8772,-96.7898
06/21/2020,Cass,North Dakota,38017,2138,64,52,47.8772,-96.7898
06/22/2020,Cass,North Dakota,38017,2143,64,53,47.8772,-96.7898
06/23/2020,Cass,North Dakota,38017,2146,65,54,47.8772,-96.7898
06/24/2020,Cass,North Dakota,38017,2165,65,55,47.8772,-96.7898
06/25/2020,Cass,North Dakota,38017,2171,65,56,47.8772,-96.7898
06/26/2020,Cass,North Dakota,38017,2181,65,57,47.8772,-96.7898
06/27/2020,Cass,North Dakota,38017,2193,65,58,47.8772,-96.7898
