Datetime,county,state,fips,cases,deaths,casecount
05/01/2020,Lancaster,Nebraska,31109,281,1,16
05/02/2020,Lancaster,Nebraska,31109,299,1,18
05/03/2020,Lancaster,Nebraska,31109,330,1,31
05/04/2020,Lancaster,Nebraska,31109,394,1,64
05/05/2020,Lancaster,Nebraska,31109,441,1,47
05/06/2020,Lancaster,Nebraska,31109,462,1,21
05/07/2020,Lancaster,Nebraska,31109,509,2,47
05/08/2020,Lancaster,Nebraska,31109,547,2,38
05/09/2020,Lancaster,Nebraska,31109,606,2,59
05/10/2020,Lancaster,Nebraska,31109,607,2,1
05/11/2020,Lancaster,Nebraska,31109,647,2,40
05/12/2020,Lancaster,Nebraska,31109,665,3,18
05/13/2020,Lancaster,Nebraska,31109,687,3,22
05/14/2020,Lancaster,Nebraska,31109,701,5,14
05/15/2020,Lancaster,Nebraska,31109,735,5,34
05/16/2020,Lancaster,Nebraska,31109,791,5,56
05/17/2020,Lancaster,Nebraska,31109,800,5,9
05/18/2020,Lancaster,Nebraska,31109,892,6,92
05/19/2020,Lancaster,Nebraska,31109,912,7,20
05/20/2020,Lancaster,Nebraska,31109,934,7,22
05/21/2020,Lancaster,Nebraska,31109,995,7,61
05/22/2020,Lancaster,Nebraska,31109,1005,8,10
05/23/2020,Lancaster,Nebraska,31109,1033,8,28
05/24/2020,Lancaster,Nebraska,31109,1056,8,23
05/25/2020,Lancaster,Nebraska,31109,1090,8,34
05/26/2020,Lancaster,Nebraska,31109,1098,9,8
05/27/2020,Lancaster,Nebraska,31109,1120,9,22
05/28/2020,Lancaster,Nebraska,31109,1140,9,20
05/29/2020,Lancaster,Nebraska,31109,1176,9,36
05/30/2020,Lancaster,Nebraska,31109,1195,9,19
05/31/2020,Lancaster,Nebraska,31109,1212,9,17
06/01/2020,Lancaster,Nebraska,31109,1228,9,16
06/02/2020,Lancaster,Nebraska,31109,1245,9,17
06/03/2020,Lancaster,Nebraska,31109,1263,9,18
06/04/2020,Lancaster,Nebraska,31109,1278,10,15
06/05/2020,Lancaster,Nebraska,31109,1310,10,32
