date,county,state,fips,cases,deaths
2020/5/1,Barnes,North Dakota,38003,4,0
2020/5/1,Bowman,North Dakota,38011,1,0
2020/5/1,Burke,North Dakota,38013,3,0
2020/5/1,Burleigh,North Dakota,38015,79,0
2020/5/1,Cass,North Dakota,38017,542,16
2020/5/1,Divide,North Dakota,38023,1,0
2020/5/1,Dunn,North Dakota,38025,10,0
2020/5/1,Eddy,North Dakota,38027,1,0
2020/5/1,Emmons,North Dakota,38029,1,1
2020/5/1,Foster,North Dakota,38031,1,0
2020/5/1,Grand Forks,North Dakota,38035,262,0
2020/5/1,Grant,North Dakota,38037,1,0
2020/5/1,McHenry,North Dakota,38049,1,1
2020/5/1,McIntosh,North Dakota,38051,1,0
2020/5/1,McKenzie,North Dakota,38053,13,0
2020/5/1,McLean,North Dakota,38055,3,0
2020/5/1,Morton,North Dakota,38059,24,2
2020/5/1,Mountrail,North Dakota,38061,35,0
2020/5/1,Nelson,North Dakota,38063,1,0
2020/5/1,Oliver,North Dakota,38065,1,0
2020/5/1,Pembina,North Dakota,38067,3,0
2020/5/1,Pierce,North Dakota,38069,2,0
2020/5/1,Ramsey,North Dakota,38071,3,0
2020/5/1,Ransom,North Dakota,38073,1,0
2020/5/1,Renville,North Dakota,38075,1,0
2020/5/1,Richland,North Dakota,38077,7,0
2020/5/1,Rolette,North Dakota,38079,1,0
2020/5/1,Sargent,North Dakota,38081,1,0
2020/5/1,Sioux,North Dakota,38085,1,0
2020/5/1,Slope,North Dakota,38087,3,0
2020/5/1,Stark,North Dakota,38089,52,2
2020/5/1,Stutsman,North Dakota,38093,7,0
2020/5/1,Walsh,North Dakota,38099,7,0
2020/5/1,Ward,North Dakota,38101,21,1
2020/5/1,Wells,North Dakota,38103,2,0
2020/5/1,Williams,North Dakota,38105,10,0
2020/5/2,Barnes,North Dakota,38003,4,0
2020/5/2,Bowman,North Dakota,38011,1,0
2020/5/2,Burke,North Dakota,38013,3,0
2020/5/2,Burleigh,North Dakota,38015,80,0
2020/5/2,Cass,North Dakota,38017,572,17
2020/5/2,Divide,North Dakota,38023,1,0
2020/5/2,Dunn,North Dakota,38025,11,0
2020/5/2,Eddy,North Dakota,38027,1,0
2020/5/2,Emmons,North Dakota,38029,1,1
2020/5/2,Foster,North Dakota,38031,1,0
2020/5/2,Grand Forks,North Dakota,38035,265,0
2020/5/2,Grant,North Dakota,38037,1,0
2020/5/2,McHenry,North Dakota,38049,1,1
2020/5/2,McIntosh,North Dakota,38051,1,0
2020/5/2,McKenzie,North Dakota,38053,13,0
2020/5/2,McLean,North Dakota,38055,5,0
2020/5/2,Morton,North Dakota,38059,24,2
2020/5/2,Mountrail,North Dakota,38061,35,0
2020/5/2,Nelson,North Dakota,38063,1,0
2020/5/2,Oliver,North Dakota,38065,1,0
2020/5/2,Pembina,North Dakota,38067,3,0
2020/5/2,Pierce,North Dakota,38069,2,0
2020/5/2,Ramsey,North Dakota,38071,3,0
2020/5/2,Ransom,North Dakota,38073,1,0
2020/5/2,Renville,North Dakota,38075,1,0
2020/5/2,Richland,North Dakota,38077,7,0
2020/5/2,Rolette,North Dakota,38079,1,0
2020/5/2,Sargent,North Dakota,38081,1,0
2020/5/2,Sioux,North Dakota,38085,1,0
2020/5/2,Slope,North Dakota,38087,3,0
2020/5/2,Stark,North Dakota,38089,54,2
2020/5/2,Stutsman,North Dakota,38093,10,0
2020/5/2,Walsh,North Dakota,38099,7,0
2020/5/2,Ward,North Dakota,38101,25,1
2020/5/2,Wells,North Dakota,38103,2,0
2020/5/2,Williams,North Dakota,38105,10,0
2020/5/3,Barnes,North Dakota,38003,4,0
2020/5/3,Bowman,North Dakota,38011,1,0
2020/5/3,Burke,North Dakota,38013,3,0
2020/5/3,Burleigh,North Dakota,38015,80,0
2020/5/3,Cass,North Dakota,38017,605,18
2020/5/3,Divide,North Dakota,38023,1,0
2020/5/3,Dunn,North Dakota,38025,11,0
2020/5/3,Eddy,North Dakota,38027,1,0
2020/5/3,Emmons,North Dakota,38029,1,1
2020/5/3,Foster,North Dakota,38031,1,0
2020/5/3,Grand Forks,North Dakota,38035,267,0
2020/5/3,Grant,North Dakota,38037,1,0
2020/5/3,McHenry,North Dakota,38049,1,1
