date,county,state,fips,cases,deaths
2020/5/1,Adams,Nebraska,31001,187,2
2020/5/2,Adams,Nebraska,31001,202,4
2020/5/3,Adams,Nebraska,31001,203,4
2020/5/4,Adams,Nebraska,31001,203,4
2020/5/5,Adams,Nebraska,31001,204,4
2020/5/6,Adams,Nebraska,31001,212,5
2020/5/7,Adams,Nebraska,31001,216,5
2020/5/8,Adams,Nebraska,31001,218,5
2020/5/9,Adams,Nebraska,31001,223,5
2020/5/10,Adams,Nebraska,31001,223,5
2020/5/11,Adams,Nebraska,31001,227,5
2020/5/12,Adams,Nebraska,31001,228,5
2020/5/13,Adams,Nebraska,31001,236,5
2020/5/14,Adams,Nebraska,31001,238,7
2020/5/15,Adams,Nebraska,31001,246,8
2020/5/16,Adams,Nebraska,31001,251,8
2020/5/17,Adams,Nebraska,31001,252,8
2020/5/18,Adams,Nebraska,31001,252,10
2020/5/19,Adams,Nebraska,31001,255,11
2020/5/20,Adams,Nebraska,31001,256,11
2020/5/21,Adams,Nebraska,31001,258,11
2020/5/22,Adams,Nebraska,31001,258,11
2020/5/23,Adams,Nebraska,31001,264,11
2020/5/24,Adams,Nebraska,31001,265,11
2020/5/25,Adams,Nebraska,31001,265,11
2020/5/26,Adams,Nebraska,31001,264,11
2020/5/27,Adams,Nebraska,31001,264,11
2020/5/28,Adams,Nebraska,31001,265,11
2020/5/29,Adams,Nebraska,31001,268,11
2020/5/30,Adams,Nebraska,31001,270,11
2020/5/31,Adams,Nebraska,31001,270,11
2020/6/1,Adams,Nebraska,31001,272,11
2020/6/2,Adams,Nebraska,31001,272,11
2020/6/3,Adams,Nebraska,31001,273,11
2020/6/4,Adams,Nebraska,31001,275,11
2020/6/5,Adams,Nebraska,31001,275,11
2020/6/6,Adams,Nebraska,31001,275,11
2020/6/7,Adams,Nebraska,31001,275,11
2020/6/8,Adams,Nebraska,31001,276,11
2020/6/9,Adams,Nebraska,31001,277,11
2020/6/10,Adams,Nebraska,31001,277,11
2020/6/11,Adams,Nebraska,31001,277,11
2020/6/12,Adams,Nebraska,31001,278,11
2020/6/13,Adams,Nebraska,31001,278,11
2020/6/14,Adams,Nebraska,31001,278,11
2020/6/15,Adams,Nebraska,31001,278,11
2020/6/16,Adams,Nebraska,31001,277,11
2020/6/17,Adams,Nebraska,31001,277,11
2020/6/18,Adams,Nebraska,31001,277,11
2020/6/19,Adams,Nebraska,31001,280,11
2020/6/20,Adams,Nebraska,31001,281,11
2020/6/21,Adams,Nebraska,31001,282,11
2020/6/22,Adams,Nebraska,31001,282,11
2020/6/23,Adams,Nebraska,31001,282,11
2020/6/24,Adams,Nebraska,31001,283,11
2020/6/25,Adams,Nebraska,31001,285,11
2020/6/26,Adams,Nebraska,31001,287,11
2020/6/27,Adams,Nebraska,31001,287,11
2020/6/28,Adams,Nebraska,31001,288,11
2020/6/29,Adams,Nebraska,31001,292,11
2020/6/30,Adams,Nebraska,31001,294,11
2020/7/1,Adams,Nebraska,31001,296,11
2020/7/2,Adams,Nebraska,31001,296,11
2020/7/3,Adams,Nebraska,31001,298,11
2020/7/4,Adams,Nebraska,31001,299,11
2020/7/5,Adams,Nebraska,31001,299,11
2020/7/6,Adams,Nebraska,31001,301,11
2020/7/7,Adams,Nebraska,31001,302,11
2020/7/8,Adams,Nebraska,31001,304,11
2020/7/9,Adams,Nebraska,31001,309,11
2020/7/10,Adams,Nebraska,31001,309,11
2020/7/11,Adams,Nebraska,31001,312,11
2020/7/12,Adams,Nebraska,31001,312,11
2020/7/13,Adams,Nebraska,31001,314,11
2020/7/14,Adams,Nebraska,31001,315,11
2020/7/15,Adams,Nebraska,31001,315,11
2020/7/16,Adams,Nebraska,31001,315,11
