datetime,county,state,fips,cases,deaths
05/01/2020,Nueces,Texas,48355,106,3
05/02/2020,Nueces,Texas,48355,107,3
05/03/2020,Nueces,Texas,48355,107,3
05/04/2020,Nueces,Texas,48355,113,3
05/05/2020,Nueces,Texas,48355,114,3
05/06/2020,Nueces,Texas,48355,117,3
05/07/2020,Nueces,Texas,48355,123,3
05/08/2020,Nueces,Texas,48355,128,3
05/09/2020,Nueces,Texas,48355,128,3
05/10/2020,Nueces,Texas,48355,132,3
05/11/2020,Nueces,Texas,48355,147,3
05/12/2020,Nueces,Texas,48355,174,3
05/13/2020,Nueces,Texas,48355,186,3
05/14/2020,Nueces,Texas,48355,209,3
05/15/2020,Nueces,Texas,48355,231,3
05/16/2020,Nueces,Texas,48355,233,3
05/17/2020,Nueces,Texas,48355,234,3
05/18/2020,Nueces,Texas,48355,242,3
05/19/2020,Nueces,Texas,48355,248,3
05/20/2020,Nueces,Texas,48355,256,3
05/21/2020,Nueces,Texas,48355,260,3
05/22/2020,Nueces,Texas,48355,260,3
05/23/2020,Nueces,Texas,48355,262,3
05/24/2020,Nueces,Texas,48355,262,3
05/25/2020,Nueces,Texas,48355,263,3
05/26/2020,Nueces,Texas,48355,266,3
05/27/2020,Nueces,Texas,48355,268,3
05/28/2020,Nueces,Texas,48355,268,3
05/29/2020,Nueces,Texas,48355,268,3
05/30/2020,Nueces,Texas,48355,274,3
05/31/2020,Nueces,Texas,48355,275,3
06/01/2020,Nueces,Texas,48355,275,3
06/02/2020,Nueces,Texas,48355,280,3
06/03/2020,Nueces,Texas,48355,285,3
06/04/2020,Nueces,Texas,48355,286,3
06/05/2020,Nueces,Texas,48355,289,3
06/06/2020,Nueces,Texas,48355,289,3
06/07/2020,Nueces,Texas,48355,289,3
06/08/2020,Nueces,Texas,48355,300,3
06/09/2020,Nueces,Texas,48355,303,3
06/10/2020,Nueces,Texas,48355,310,3
06/11/2020,Nueces,Texas,48355,321,3
06/12/2020,Nueces,Texas,48355,336,3
06/13/2020,Nueces,Texas,48355,336,3
06/14/2020,Nueces,Texas,48355,336,3
06/15/2020,Nueces,Texas,48355,360,4
06/16/2020,Nueces,Texas,48355,391,4
06/17/2020,Nueces,Texas,48355,420,4
06/18/2020,Nueces,Texas,48355,485,5
06/19/2020,Nueces,Texas,48355,548,6
06/20/2020,Nueces,Texas,48355,597,6
06/21/2020,Nueces,Texas,48355,633,6
06/22/2020,Nueces,Texas,48355,742,6
06/23/2020,Nueces,Texas,48355,813,6
06/24/2020,Nueces,Texas,48355,1028,6
06/25/2020,Nueces,Texas,48355,1028,6
06/26/2020,Nueces,Texas,48355,1499,6
06/27/2020,Nueces,Texas,48355,1727,6
06/28/2020,Nueces,Texas,48355,1915,7
06/29/2020,Nueces,Texas,48355,2120,8
06/30/2020,Nueces,Texas,48355,2394,8
07/01/2020,Nueces,Texas,48355,2756,9
07/02/2020,Nueces,Texas,48355,3018,9
07/03/2020,Nueces,Texas,48355,3272,10
07/04/2020,Nueces,Texas,48355,3593,11
07/05/2020,Nueces,Texas,48355,3796,14
07/06/2020,Nueces,Texas,48355,4084,18
07/07/2020,Nueces,Texas,48355,4472,27
07/08/2020,Nueces,Texas,48355,4917,35
07/09/2020,Nueces,Texas,48355,5260,37
07/10/2020,Nueces,Texas,48355,5672,42
07/11/2020,Nueces,Texas,48355,5965,50
07/12/2020,Nueces,Texas,48355,6174,54
07/13/2020,Nueces,Texas,48355,6427,58
07/14/2020,Nueces,Texas,48355,7032,64
07/15/2020,Nueces,Texas,48355,7532,70
07/16/2020,Nueces,Texas,48355,7861,75
07/17/2020,Nueces,Texas,48355,8171,82
07/18/2020,Nueces,Texas,48355,8407,90
07/19/2020,Nueces,Texas,48355,8579,95
07/20/2020,Nueces,Texas,48355,8816,103
07/21/2020,Nueces,Texas,48355,9105,108
07/22/2020,Nueces,Texas,48355,9607,116
07/23/2020,Nueces,Texas,48355,9961,124
07/24/2020,Nueces,Texas,48355,10136,129
07/25/2020,Nueces,Texas,48355,10351,137
07/26/2020,Nueces,Texas,48355,10417,141
07/27/2020,Nueces,Texas,48355,10647,148
07/28/2020,Nueces,Texas,48355,10901,154
07/29/2020,Nueces,Texas,48355,11160,162
07/30/2020,Nueces,Texas,48355,11390,166
07/31/2020,Nueces,Texas,48355,12301,176
08/01/2020,Nueces,Texas,48355,12478,182
08/02/2020,Nueces,Texas,48355,12575,195
08/03/2020,Nueces,Texas,48355,12813,204
08/04/2020,Nueces,Texas,48355,13062,212
08/05/2020,Nueces,Texas,48355,13321,217
08/06/2020,Nueces,Texas,48355,13552,227
08/07/2020,Nueces,Texas,48355,13918,229
08/08/2020,Nueces,Texas,48355,14073,234
08/09/2020,Nueces,Texas,48355,15244,236
08/10/2020,Nueces,Texas,48355,15423,243
08/11/2020,Nueces,Texas,48355,15731,249
08/12/2020,Nueces,Texas,48355,16234,259
08/13/2020,Nueces,Texas,48355,16403,270
08/14/2020,Nueces,Texas,48355,16527,277
08/15/2020,Nueces,Texas,48355,16878,279
08/16/2020,Nueces,Texas,48355,17044,287
08/17/2020,Nueces,Texas,48355,17124,290
08/18/2020,Nueces,Texas,48355,17322,295
08/19/2020,Nueces,Texas,48355,17494,300
08/20/2020,Nueces,Texas,48355,17600,303
08/21/2020,Nueces,Texas,48355,17854,306
08/22/2020,Nueces,Texas,48355,17854,306
08/23/2020,Nueces,Texas,48355,18069,313
08/24/2020,Nueces,Texas,48355,18181,316
08/25/2020,Nueces,Texas,48355,18349,327
08/26/2020,Nueces,Texas,48355,18444,336
08/27/2020,Nueces,Texas,48355,18536,339
08/28/2020,Nueces,Texas,48355,18664,348
08/29/2020,Nueces,Texas,48355,18664,348
08/30/2020,Nueces,Texas,48355,18830,352
08/31/2020,Nueces,Texas,48355,18886,353
09/01/2020,Nueces,Texas,48355,18992,363
09/02/2020,Nueces,Texas,48355,19017,368
09/03/2020,Nueces,Texas,48355,19050,368
09/04/2020,Nueces,Texas,48355,19076,370
09/05/2020,Nueces,Texas,48355,19287,373
09/06/2020,Nueces,Texas,48355,19287,373
09/07/2020,Nueces,Texas,48355,19308,376
09/08/2020,Nueces,Texas,48355,19389,381
09/09/2020,Nueces,Texas,48355,19488,382
09/10/2020,Nueces,Texas,48355,19509,383
09/11/2020,Nueces,Texas,48355,19557,385
09/12/2020,Nueces,Texas,48355,19557,385
09/13/2020,Nueces,Texas,48355,19635,390
09/14/2020,Nueces,Texas,48355,19635,390
09/15/2020,Nueces,Texas,48355,19845,397
09/16/2020,Nueces,Texas,48355,19875,400
09/17/2020,Nueces,Texas,48355,19913,401
09/18/2020,Nueces,Texas,48355,19956,401
09/19/2020,Nueces,Texas,48355,19986,403
09/20/2020,Nueces,Texas,48355,20002,403
09/21/2020,Nueces,Texas,48355,20241,405
09/22/2020,Nueces,Texas,48355,20270,407
09/23/2020,Nueces,Texas,48355,20270,407
09/24/2020,Nueces,Texas,48355,20434,410
09/25/2020,Nueces,Texas,48355,20451,411
09/26/2020,Nueces,Texas,48355,20451,411
09/27/2020,Nueces,Texas,48355,20456,412
09/28/2020,Nueces,Texas,48355,20472,416
09/29/2020,Nueces,Texas,48355,20534,417
09/30/2020,Nueces,Texas,48355,20541,417
10/01/2020,Nueces,Texas,48355,20541,417
10/02/2020,Nueces,Texas,48355,20661,419
10/03/2020,Nueces,Texas,48355,20689,419
10/04/2020,Nueces,Texas,48355,20689,419
10/05/2020,Nueces,Texas,48355,20707,419
10/06/2020,Nueces,Texas,48355,20727,421
10/07/2020,Nueces,Texas,48355,20745,423
10/08/2020,Nueces,Texas,48355,20767,423
10/09/2020,Nueces,Texas,48355,20783,425
10/10/2020,Nueces,Texas,48355,20783,425
10/11/2020,Nueces,Texas,48355,20790,426
10/12/2020,Nueces,Texas,48355,20814,427
10/13/2020,Nueces,Texas,48355,20835,432
10/14/2020,Nueces,Texas,48355,20846,432
10/15/2020,Nueces,Texas,48355,20887,432
10/16/2020,Nueces,Texas,48355,20931,435
10/17/2020,Nueces,Texas,48355,20982,435
10/18/2020,Nueces,Texas,48355,20993,436
10/19/2020,Nueces,Texas,48355,21005,437
10/20/2020,Nueces,Texas,48355,21027,438
10/21/2020,Nueces,Texas,48355,21058,438
10/22/2020,Nueces,Texas,48355,21087,438
10/23/2020,Nueces,Texas,48355,21125,439
10/24/2020,Nueces,Texas,48355,21166,440
10/25/2020,Nueces,Texas,48355,21166,440
10/26/2020,Nueces,Texas,48355,21187,440
10/27/2020,Nueces,Texas,48355,21219,442
10/28/2020,Nueces,Texas,48355,21247,442
10/29/2020,Nueces,Texas,48355,21286,442
10/30/2020,Nueces,Texas,48355,21312,442
10/31/2020,Nueces,Texas,48355,21342,443
