date,county,state,fips,cases,deaths
2020/5/1,Cass,North Dakota,38017,542,16
2020/5/2,Cass,North Dakota,38017,572,17
2020/5/3,Cass,North Dakota,38017,605,18
2020/5/4,Cass,North Dakota,38017,630,18
2020/5/5,Cass,North Dakota,38017,643,18
2020/5/6,Cass,North Dakota,38017,686,23
2020/5/7,Cass,North Dakota,38017,709,23
2020/5/8,Cass,North Dakota,38017,752,24
2020/5/9,Cass,North Dakota,38017,781,26
2020/5/10,Cass,North Dakota,38017,805,26
2020/5/11,Cass,North Dakota,38017,821,27
2020/5/12,Cass,North Dakota,38017,866,29
2020/5/13,Cass,North Dakota,38017,935,31
2020/5/14,Cass,North Dakota,38017,991,31
2020/5/15,Cass,North Dakota,38017,1032,32
2020/5/16,Cass,North Dakota,38017,1106,32
2020/5/17,Cass,North Dakota,38017,1147,33
2020/5/18,Cass,North Dakota,38017,1173,33
2020/5/19,Cass,North Dakota,38017,1229,34
2020/5/20,Cass,North Dakota,38017,1277,38
2020/5/21,Cass,North Dakota,38017,1370,40
2020/5/22,Cass,North Dakota,38017,1442,41
2020/5/23,Cass,North Dakota,38017,1487,41
2020/5/24,Cass,North Dakota,38017,1528,42
2020/5/25,Cass,North Dakota,38017,1564,43
2020/5/26,Cass,North Dakota,38017,1580,43
2020/5/27,Cass,North Dakota,38017,1596,45
2020/5/28,Cass,North Dakota,38017,1632,46
2020/5/29,Cass,North Dakota,38017,1661,48
2020/5/30,Cass,North Dakota,38017,1685,49
2020/5/31,Cass,North Dakota,38017,1705,50
2020/6/1,Cass,North Dakota,38017,1744,50
2020/6/2,Cass,North Dakota,38017,1762,54
2020/6/3,Cass,North Dakota,38017,1783,55
2020/6/4,Cass,North Dakota,38017,1803,55
2020/6/5,Cass,North Dakota,38017,1834,59
2020/6/6,Cass,North Dakota,38017,1880,60
2020/6/7,Cass,North Dakota,38017,1911,60
2020/6/8,Cass,North Dakota,38017,1917,60
2020/6/9,Cass,North Dakota,38017,1930,60
2020/6/10,Cass,North Dakota,38017,1958,61
2020/6/11,Cass,North Dakota,38017,1984,62
2020/6/12,Cass,North Dakota,38017,2006,62
2020/6/13,Cass,North Dakota,38017,2037,62
2020/6/14,Cass,North Dakota,38017,2044,62
2020/6/15,Cass,North Dakota,38017,2058,62
2020/6/16,Cass,North Dakota,38017,2067,62
2020/6/17,Cass,North Dakota,38017,2084,62
2020/6/18,Cass,North Dakota,38017,2091,63
2020/6/19,Cass,North Dakota,38017,2104,64
2020/6/20,Cass,North Dakota,38017,2118,64
2020/6/21,Cass,North Dakota,38017,2138,64
2020/6/22,Cass,North Dakota,38017,2143,64
2020/6/23,Cass,North Dakota,38017,2146,65
2020/6/24,Cass,North Dakota,38017,2165,65
2020/6/25,Cass,North Dakota,38017,2171,65
2020/6/26,Cass,North Dakota,38017,2181,65
2020/6/27,Cass,North Dakota,38017,2193,65
2020/6/28,Cass,North Dakota,38017,2208,66
2020/6/29,Cass,North Dakota,38017,2233,66
2020/6/30,Cass,North Dakota,38017,2245,66
2020/7/1,Cass,North Dakota,38017,2260,66
2020/7/2,Cass,North Dakota,38017,2277,66
2020/7/3,Cass,North Dakota,38017,2295,66
2020/7/4,Cass,North Dakota,38017,2323,66
2020/7/5,Cass,North Dakota,38017,2334,66
2020/7/6,Cass,North Dakota,38017,2351,66
2020/7/7,Cass,North Dakota,38017,2358,69
2020/7/8,Cass,North Dakota,38017,2373,70
2020/7/9,Cass,North Dakota,38017,2402,70
2020/7/10,Cass,North Dakota,38017,2421,70
2020/7/11,Cass,North Dakota,38017,2442,72
2020/7/12,Cass,North Dakota,38017,2464,72
2020/7/13,Cass,North Dakota,38017,2492,72
2020/7/14,Cass,North Dakota,38017,2503,73
2020/7/15,Cass,North Dakota,38017,2522,73
2020/7/16,Cass,North Dakota,38017,2547,73
2020/7/17,Cass,North Dakota,38017,2584,73
2020/7/18,Cass,North Dakota,38017,2613,73
2020/7/19,Cass,North Dakota,38017,2639,73
2020/7/20,Cass,North Dakota,38017,2663,73
2020/7/21,Cass,North Dakota,38017,2673,74
2020/7/22,Cass,North Dakota,38017,2715,75
2020/7/23,Cass,North Dakota,38017,2734,75
2020/7/24,Cass,North Dakota,38017,2762,75
2020/7/25,Cass,North Dakota,38017,2765,75
2020/7/26,Cass,North Dakota,38017,2794,75
2020/7/27,Cass,North Dakota,38017,2816,75
2020/7/28,Cass,North Dakota,38017,2841,75
2020/7/29,Cass,North Dakota,38017,2850,76
2020/7/30,Cass,North Dakota,38017,2872,76
2020/7/31,Cass,North Dakota,38017,2897,76
2020/8/1,Cass,North Dakota,38017,2917,76
2020/8/2,Cass,North Dakota,38017,2922,76
2020/8/3,Cass,North Dakota,38017,2932,76
2020/8/4,Cass,North Dakota,38017,2938,76
2020/8/5,Cass,North Dakota,38017,2958,76
2020/8/6,Cass,North Dakota,38017,2977,76
2020/8/7,Cass,North Dakota,38017,3006,76
2020/8/8,Cass,North Dakota,38017,3028,76
2020/8/9,Cass,North Dakota,38017,3039,76
2020/8/10,Cass,North Dakota,38017,3046,76
2020/8/11,Cass,North Dakota,38017,3058,76
2020/8/12,Cass,North Dakota,38017,3073,76
2020/8/13,Cass,North Dakota,38017,3088,76
2020/8/14,Cass,North Dakota,38017,3104,76
2020/8/15,Cass,North Dakota,38017,3117,76
2020/8/16,Cass,North Dakota,38017,3128,76
2020/8/17,Cass,North Dakota,38017,3135,76
2020/8/18,Cass,North Dakota,38017,3148,76
2020/8/19,Cass,North Dakota,38017,3182,76
2020/8/20,Cass,North Dakota,38017,3203,76
2020/8/21,Cass,North Dakota,38017,3223,76
2020/8/22,Cass,North Dakota,38017,3250,76
2020/8/23,Cass,North Dakota,38017,3274,76
2020/8/24,Cass,North Dakota,38017,3289,76
2020/8/25,Cass,North Dakota,38017,3309,76
2020/8/26,Cass,North Dakota,38017,3339,76
2020/8/27,Cass,North Dakota,38017,3375,76
2020/8/28,Cass,North Dakota,38017,3430,76
2020/8/29,Cass,North Dakota,38017,3470,76
2020/8/30,Cass,North Dakota,38017,3510,76
2020/8/31,Cass,North Dakota,38017,3526,76
2020/9/1,Cass,North Dakota,38017,3554,76
2020/9/2,Cass,North Dakota,38017,3604,76
2020/9/3,Cass,North Dakota,38017,3661,76
2020/9/4,Cass,North Dakota,38017,3740,76
2020/9/5,Cass,North Dakota,38017,3813,76
2020/9/6,Cass,North Dakota,38017,3857,76
2020/9/7,Cass,North Dakota,38017,3881,76
2020/9/8,Cass,North Dakota,38017,3894,76
2020/9/9,Cass,North Dakota,38017,3957,76
2020/9/10,Cass,North Dakota,38017,4020,76
2020/9/11,Cass,North Dakota,38017,4060,76
2020/9/12,Cass,North Dakota,38017,4131,77
2020/9/13,Cass,North Dakota,38017,4214,77
2020/9/14,Cass,North Dakota,38017,4294,77
2020/9/15,Cass,North Dakota,38017,4328,77
2020/9/16,Cass,North Dakota,38017,4407,77
2020/9/17,Cass,North Dakota,38017,4456,77
2020/9/18,Cass,North Dakota,38017,4533,77
2020/9/19,Cass,North Dakota,38017,4603,77
2020/9/20,Cass,North Dakota,38017,4676,77
2020/9/21,Cass,North Dakota,38017,4722,77
2020/9/22,Cass,North Dakota,38017,4767,77
2020/9/23,Cass,North Dakota,38017,4849,77
2020/9/24,Cass,North Dakota,38017,4927,77
2020/9/25,Cass,North Dakota,38017,4984,77
2020/9/26,Cass,North Dakota,38017,5064,77
2020/9/27,Cass,North Dakota,38017,5122,77
2020/9/28,Cass,North Dakota,38017,5177,77
2020/9/29,Cass,North Dakota,38017,5250,77
2020/9/30,Cass,North Dakota,38017,5334,77
2020/10/1,Cass,North Dakota,38017,5416,77
2020/10/2,Cass,North Dakota,38017,5500,78
2020/10/3,Cass,North Dakota,38017,5595,78
2020/10/4,Cass,North Dakota,38017,5678,78
2020/10/5,Cass,North Dakota,38017,5728,78
2020/10/6,Cass,North Dakota,38017,5812,78
2020/10/7,Cass,North Dakota,38017,5946,78
2020/10/8,Cass,North Dakota,38017,6081,78
2020/10/9,Cass,North Dakota,38017,6192,78
2020/10/10,Cass,North Dakota,38017,6301,78
2020/10/11,Cass,North Dakota,38017,6446,78
2020/10/12,Cass,North Dakota,38017,6535,78
2020/10/13,Cass,North Dakota,38017,6703,78
2020/10/14,Cass,North Dakota,38017,6917,78
2020/10/15,Cass,North Dakota,38017,7011,78
2020/10/16,Cass,North Dakota,38017,7231,79
2020/10/17,Cass,North Dakota,38017,7405,79
2020/10/18,Cass,North Dakota,38017,7536,79
2020/10/19,Cass,North Dakota,38017,7753,79
2020/10/20,Cass,North Dakota,38017,7915,81
2020/10/21,Cass,North Dakota,38017,8010,81
2020/10/22,Cass,North Dakota,38017,8207,82
2020/10/23,Cass,North Dakota,38017,8359,83
2020/10/24,Cass,North Dakota,38017,8480,83
2020/10/25,Cass,North Dakota,38017,8658,83
2020/10/26,Cass,North Dakota,38017,8794,84
2020/10/27,Cass,North Dakota,38017,8925,84
2020/10/28,Cass,North Dakota,38017,9056,84
2020/10/29,Cass,North Dakota,38017,9333,85
2020/10/30,Cass,North Dakota,38017,9510,85
2020/10/31,Cass,North Dakota,38017,9748,85
