date,county,state,fips,cases,deaths
2020/5/1,Nueces,Texas,48355,106,3
2020/5/2,Nueces,Texas,48355,107,3
2020/5/3,Nueces,Texas,48355,107,3
2020/5/4,Nueces,Texas,48355,113,3
2020/5/5,Nueces,Texas,48355,114,3
2020/5/6,Nueces,Texas,48355,117,3
2020/5/7,Nueces,Texas,48355,123,3
2020/5/8,Nueces,Texas,48355,128,3
2020/5/9,Nueces,Texas,48355,128,3
2020/5/10,Nueces,Texas,48355,132,3
2020/5/11,Nueces,Texas,48355,147,3
2020/5/12,Nueces,Texas,48355,174,3
2020/5/13,Nueces,Texas,48355,186,3
2020/5/14,Nueces,Texas,48355,209,3
2020/5/15,Nueces,Texas,48355,231,3
2020/5/16,Nueces,Texas,48355,233,3
2020/5/17,Nueces,Texas,48355,234,3
2020/5/18,Nueces,Texas,48355,242,3
2020/5/19,Nueces,Texas,48355,248,3
2020/5/20,Nueces,Texas,48355,256,3
2020/5/21,Nueces,Texas,48355,260,3
2020/5/22,Nueces,Texas,48355,260,3
2020/5/23,Nueces,Texas,48355,262,3
2020/5/24,Nueces,Texas,48355,262,3
2020/5/25,Nueces,Texas,48355,263,3
2020/5/26,Nueces,Texas,48355,266,3
2020/5/27,Nueces,Texas,48355,268,3
2020/5/28,Nueces,Texas,48355,268,3
2020/5/29,Nueces,Texas,48355,268,3
2020/5/30,Nueces,Texas,48355,274,3
2020/5/31,Nueces,Texas,48355,275,3
2020/6/1,Nueces,Texas,48355,275,3
2020/6/2,Nueces,Texas,48355,280,3
2020/6/3,Nueces,Texas,48355,285,3
2020/6/4,Nueces,Texas,48355,286,3
2020/6/5,Nueces,Texas,48355,289,3
2020/6/6,Nueces,Texas,48355,289,3
2020/6/7,Nueces,Texas,48355,289,3
2020/6/8,Nueces,Texas,48355,300,3
2020/6/9,Nueces,Texas,48355,303,3
2020/6/10,Nueces,Texas,48355,310,3
2020/6/11,Nueces,Texas,48355,321,3
2020/6/12,Nueces,Texas,48355,336,3
2020/6/13,Nueces,Texas,48355,336,3
2020/6/14,Nueces,Texas,48355,336,3
2020/6/15,Nueces,Texas,48355,360,4
2020/6/16,Nueces,Texas,48355,391,4
2020/6/17,Nueces,Texas,48355,420,4
2020/6/18,Nueces,Texas,48355,485,5
2020/6/19,Nueces,Texas,48355,548,6
2020/6/20,Nueces,Texas,48355,597,6
2020/6/21,Nueces,Texas,48355,633,6
2020/6/22,Nueces,Texas,48355,742,6
2020/6/23,Nueces,Texas,48355,813,6
2020/6/24,Nueces,Texas,48355,1028,6
2020/6/25,Nueces,Texas,48355,1028,6
2020/6/26,Nueces,Texas,48355,1499,6
2020/6/27,Nueces,Texas,48355,1727,6
2020/6/28,Nueces,Texas,48355,1915,7
2020/6/29,Nueces,Texas,48355,2120,8
2020/6/30,Nueces,Texas,48355,2394,8
2020/7/1,Nueces,Texas,48355,2756,9
2020/7/2,Nueces,Texas,48355,3018,9
2020/7/3,Nueces,Texas,48355,3272,10
2020/7/4,Nueces,Texas,48355,3593,11
2020/7/5,Nueces,Texas,48355,3796,14
2020/7/6,Nueces,Texas,48355,4084,18
