date,county,state,fips,cases,deaths
2020/5/1,Anderson,Texas,48001,30,0
2020/5/1,Andrews,Texas,48003,20,0
2020/5/1,Angelina,Texas,48005,54,0
2020/5/1,Aransas,Texas,48007,2,0
2020/5/1,Armstrong,Texas,48011,2,0
2020/5/1,Atascosa,Texas,48013,19,1
2020/5/1,Austin,Texas,48015,13,0
2020/5/1,Bandera,Texas,48019,6,0
2020/5/1,Bastrop,Texas,48021,82,2
2020/5/1,Bee,Texas,48025,6,0
2020/5/1,Bell,Texas,48027,189,3
2020/5/1,Bexar,Texas,48029,1489,48
2020/5/1,Blanco,Texas,48031,6,0
2020/5/1,Bosque,Texas,48035,4,0
2020/5/1,Bowie,Texas,48037,101,9
2020/5/1,Brazoria,Texas,48039,537,6
2020/5/1,Brazos,Texas,48041,202,16
2020/5/1,Brewster,Texas,48043,1,0
2020/5/1,Brooks,Texas,48047,1,0
2020/5/1,Brown,Texas,48049,36,4
2020/5/1,Burleson,Texas,48051,13,0
2020/5/1,Burnet,Texas,48053,19,0
2020/5/1,Caldwell,Texas,48055,14,0
2020/5/1,Calhoun,Texas,48057,30,3
2020/5/1,Callahan,Texas,48059,2,0
2020/5/1,Cameron,Texas,48061,412,18
2020/5/1,Camp,Texas,48063,6,0
2020/5/1,Carson,Texas,48065,2,0
2020/5/1,Cass,Texas,48067,16,2
2020/5/1,Castro,Texas,48069,15,1
2020/5/1,Chambers,Texas,48071,43,0
2020/5/1,Cherokee,Texas,48073,16,1
2020/5/1,Childress,Texas,48075,1,0
2020/5/1,Clay,Texas,48077,3,0
2020/5/1,Cochran,Texas,48079,1,0
2020/5/1,Collin,Texas,48085,767,22
2020/5/1,Colorado,Texas,48089,11,0
2020/5/1,Comal,Texas,48091,58,6
2020/5/1,Comanche,Texas,48093,3,1
2020/5/1,Concho,Texas,48095,1,0
2020/5/1,Cooke,Texas,48097,7,0
2020/5/1,Coryell,Texas,48099,158,2
2020/5/1,Cottle,Texas,48101,2,0
2020/5/1,Crane,Texas,48103,2,0
2020/5/1,Crosby,Texas,48107,2,1
2020/5/1,Dallam,Texas,48111,10,1
2020/5/1,Dallas,Texas,48113,3718,106
2020/5/1,Dawson,Texas,48115,24,1
2020/5/1,DeWitt,Texas,48123,15,1
2020/5/1,Deaf Smith,Texas,48117,31,0
2020/5/1,Delta,Texas,48119,1,0
2020/5/1,Denton,Texas,48121,786,22
2020/5/1,Dickens,Texas,48125,1,0
2020/5/1,Dimmit,Texas,48127,1,0
2020/5/1,Donley,Texas,48129,24,0
2020/5/1,Duval,Texas,48131,2,0
2020/5/1,Eastland,Texas,48133,3,0
2020/5/1,Ector,Texas,48135,81,4
2020/5/1,El Paso,Texas,48141,961,22
2020/5/1,Ellis,Texas,48139,148,6
2020/5/1,Erath,Texas,48143,12,1
2020/5/1,Falls,Texas,48145,4,0
2020/5/1,Fannin,Texas,48147,18,0
2020/5/1,Fayette,Texas,48149,15,1
2020/5/1,Floyd,Texas,48153,3,0
2020/5/1,Fort Bend,Texas,48157,1079,26
2020/5/1,Franklin,Texas,48159,1,0
2020/5/1,Freestone,Texas,48161,5,0
2020/5/1,Frio,Texas,48163,7,0
2020/5/1,Gaines,Texas,48165,2,0
2020/5/1,Galveston,Texas,48167,614,27
2020/5/1,Garza,Texas,48169,1,0
2020/5/1,Gillespie,Texas,48171,2,0
2020/5/1,Glasscock,Texas,48173,1,0
2020/5/1,Goliad,Texas,48175,7,0
2020/5/1,Gonzales,Texas,48177,21,2
2020/5/1,Gray,Texas,48179,58,0
2020/5/1,Grayson,Texas,48181,34,0
2020/5/1,Gregg,Texas,48183,80,0
2020/5/1,Grimes,Texas,48185,19,1
2020/5/1,Guadalupe,Texas,48187,81,0
2020/5/1,Hale,Texas,48189,25,4
2020/5/1,Hamilton,Texas,48193,5,0
2020/5/1,Hansford,Texas,48195,6,0
2020/5/1,Hardin,Texas,48199,103,3
2020/5/1,Harris,Texas,48201,6551,122
2020/5/1,Harrison,Texas,48203,113,6
2020/5/1,Hartley,Texas,48205,5,0
2020/5/1,Hays,Texas,48209,167,1
2020/5/1,Hemphill,Texas,48211,1,0
2020/5/1,Henderson,Texas,48213,25,0
2020/5/1,Hidalgo,Texas,48215,339,6
2020/5/1,Hill,Texas,48217,16,1
2020/5/1,Hockley,Texas,48219,21,1
2020/5/1,Hood,Texas,48221,18,3
2020/5/1,Hopkins,Texas,48223,4,0
2020/5/1,Houston,Texas,48225,6,0
2020/5/1,Howard,Texas,48227,4,1
2020/5/1,Hunt,Texas,48231,47,2
2020/5/1,Hutchinson,Texas,48233,14,0
2020/5/1,Jack,Texas,48237,4,0
2020/5/1,Jackson,Texas,48239,8,0
2020/5/1,Jasper,Texas,48241,16,1
2020/5/1,Jefferson,Texas,48245,307,21
2020/5/1,Jim Hogg,Texas,48247,3,0
2020/5/1,Jim Wells,Texas,48249,3,0
2020/5/1,Johnson,Texas,48251,90,4
2020/5/1,Jones,Texas,48253,37,0
2020/5/1,Karnes,Texas,48255,3,0
2020/5/1,Kaufman,Texas,48257,86,1
2020/5/1,Kendall,Texas,48259,16,0
2020/5/1,Kerr,Texas,48265,5,0
2020/5/1,Kleberg,Texas,48273,8,1
2020/5/1,Knox,Texas,48275,1,0
2020/5/1,La Salle,Texas,48283,1,0
2020/5/1,Lamar,Texas,48277,61,0
2020/5/1,Lamb,Texas,48279,3,0
2020/5/1,Lampasas,Texas,48281,3,0
2020/5/1,Lavaca,Texas,48285,6,1
2020/5/1,Lee,Texas,48287,2,0
2020/5/1,Leon,Texas,48289,6,0
2020/5/1,Liberty,Texas,48291,43,0
2020/5/1,Limestone,Texas,48293,12,1
2020/5/1,Lipscomb,Texas,48295,2,0
2020/5/1,Live Oak,Texas,48297,5,0
2020/5/1,Llano,Texas,48299,3,0
2020/5/1,Lubbock,Texas,48303,543,43
2020/5/1,Lynn,Texas,48305,5,1
2020/5/1,Madison,Texas,48313,2,0
2020/5/1,Marion,Texas,48315,14,0
2020/5/1,Martin,Texas,48317,2,0
2020/5/1,Mason,Texas,48319,21,0
2020/5/1,Matagorda,Texas,48321,64,3
2020/5/1,Maverick,Texas,48323,24,0
2020/5/1,McCulloch,Texas,48307,3,0
2020/5/1,McLennan,Texas,48309,91,4
2020/5/1,Medina,Texas,48325,20,2
2020/5/1,Midland,Texas,48329,82,6
2020/5/1,Milam,Texas,48331,16,1
2020/5/1,Mitchell,Texas,48335,1,0
2020/5/1,Montague,Texas,48337,6,1
2020/5/1,Montgomery,Texas,48339,629,14
2020/5/1,Moore,Texas,48341,350,5
2020/5/1,Morris,Texas,48343,5,0
2020/5/1,Motley,Texas,48345,1,0
2020/5/1,Nacogdoches,Texas,48347,160,7
2020/5/1,Navarro,Texas,48349,31,2
2020/5/1,Newton,Texas,48351,2,0
2020/5/1,Nolan,Texas,48353,1,0
2020/5/1,Nueces,Texas,48355,106,3
2020/5/1,Ochiltree,Texas,48357,19,1
