Name,Date time,fips,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Fargo, ND",05/01/2020,38017,73.2,50.6,62.4,,,0.01,0,0,22.7,200.17,35.5,9.8,22.7,45.57,Rain
"Fargo, ND",05/02/2020,38017,68.2,46.8,57.7,41.6,,0,0,0,31,285.79,41.2,9.9,0,51.83,Clear
"Fargo, ND",05/03/2020,38017,52.3,32.2,43,22.8,,0,0,0,20.5,86.75,29.3,9.9,6,58.97,Clear
"Fargo, ND",05/04/2020,38017,53.2,35.6,44.8,29.2,,0.32,0,0,14.5,123.38,18.3,9.5,54,67.48,"Rain, Partially cloudy"
"Fargo, ND",05/05/2020,38017,47.2,42.5,45.1,37.3,,0.54,0,0,13.6,220.25,,8.8,74.6,88.29,"Rain, Partially cloudy"
"Fargo, ND",05/06/2020,38017,61.3,36.4,50.6,35.6,,0,0,0,13.9,275.75,21.6,9.9,8.6,66.11,Clear
"Fargo, ND",05/07/2020,38017,52.3,33.2,43.9,26.3,,0,0,0,24.2,157.17,34.1,9.9,1.9,48.49,Clear
"Fargo, ND",05/08/2020,38017,50.2,28.4,40.4,19.3,,0,0,0,16.1,278.83,23.9,9.9,4.2,54.4,Clear
"Fargo, ND",05/09/2020,38017,42.2,35.5,39.3,26.2,,0.16,0,0,22.8,155.17,34.2,8.6,75.9,71.49,"Rain, Overcast"
"Fargo, ND",05/10/2020,38017,49.7,36,41.3,25.6,,0,0,0,27.1,341.33,36.6,9.9,58.2,55.37,Partially cloudy
"Fargo, ND",05/11/2020,38017,48,27,37.7,16.8,,0,0,0,19.1,322.92,25.8,9.9,0,50.49,Clear
"Fargo, ND",05/12/2020,38017,54.2,24.7,41.6,22.7,,0,0,0,9.2,196.42,,9.9,1.8,40.64,Clear
"Fargo, ND",05/13/2020,38017,55.2,44.3,49,37.2,,0.21,0,0,25.3,146.33,38,8.5,85.4,66.69,"Rain, Overcast"
"Fargo, ND",05/14/2020,38017,64.4,44.4,54,40.6,,0,0,0,28.4,240.63,36.7,7.2,64.9,75.31,Partially cloudy
"Fargo, ND",05/15/2020,38017,66.2,37.1,52.6,33.4,,0,0,0,9.3,145.83,9.2,9.9,0,59.2,Clear
"Fargo, ND",05/16/2020,38017,70,44.9,58.6,41.7,,0,0,0,10.1,123.58,18.3,9.9,8.8,53.91,Clear
"Fargo, ND",05/17/2020,38017,74.2,44.6,60.6,43,,0,0,0,19.3,72.92,26.8,9.9,1.9,53.78,Clear
"Fargo, ND",05/18/2020,38017,78.2,45.1,63.8,42.6,,0,0,0,19.8,114.58,28.9,9.9,0,39.77,Clear
"Fargo, ND",05/19/2020,38017,77.2,52.3,65.6,,,0,0,0,18.5,137.33,28.4,9.9,0,43.98,Clear
"Fargo, ND",05/20/2020,38017,72.2,58.2,65,,,0,0,0,23,157.21,36.5,9.9,51.1,67.93,Partially cloudy
"Fargo, ND",05/21/2020,38017,73.2,57.3,65.8,,,0,0,0,22.8,157.79,36.5,9.9,41.5,66.36,Partially cloudy
"Fargo, ND",05/22/2020,38017,78,59.2,66.7,,,0,0,0,21.2,151.5,30,9.9,56.2,63.89,Partially cloudy
"Fargo, ND",05/23/2020,38017,76,58.2,67.2,,,0,0,0,13.1,144.17,21.9,9.9,17.4,65.39,Clear
"Fargo, ND",05/24/2020,38017,70.3,59.2,65.2,,,0.01,0,0,11.9,139.21,,9.6,37.5,76.52,"Rain, Partially cloudy"
"Fargo, ND",05/25/2020,38017,73.4,53.4,63.8,,,0,0,0,19.1,314.38,21.9,9.9,63.8,68.18,Partially cloudy
"Fargo, ND",05/26/2020,38017,74,57.2,63.9,,,0.1,0,0,12.5,216.75,,7.9,51.3,75.82,"Rain, Partially cloudy"
"Fargo, ND",05/27/2020,38017,84.8,54.2,70.7,,82.7,0,0,0,19.5,249.13,30.2,8.2,10.4,55.28,Clear
"Fargo, ND",05/28/2020,38017,69.2,49.7,61.8,46.4,,0,0,0,27.7,296.08,41.6,9.9,42.7,46.93,Partially cloudy
"Fargo, ND",05/29/2020,38017,66,45.2,56.7,40.3,,0,0,0,22.2,262.13,33.3,9.9,47.4,56.27,Partially cloudy
"Fargo, ND",05/30/2020,38017,67.8,44.6,56.4,40.2,,0,0,0,13.6,138.38,27.1,9.9,14.6,41.88,Clear
"Fargo, ND",05/31/2020,38017,82.2,46.1,66,43,80.6,0,0,0,20.4,142.04,32.2,9.9,3.2,38.82,Clear
"Fargo, ND",06/01/2020,38017,96,67.2,79.9,,96.5,0,0,0,21.9,217.79,34,9.9,8.5,46.11,Clear
"Fargo, ND",06/02/2020,38017,88,58.2,73.7,,84.8,0,0,0,16.3,266,26.4,9.9,5.4,43.86,Clear
"Fargo, ND",06/03/2020,38017,83.2,52.4,71.5,,80.9,0,0,0,11.3,225.08,,9.9,5.8,39.67,Clear
"Fargo, ND",06/04/2020,38017,84.8,54.4,71.9,,81.8,0.01,0,0,14.8,225.96,34.2,9.9,19.3,40.74,Rain
"Fargo, ND",06/05/2020,38017,80.4,50.6,68.3,,78.9,0,0,0,21.5,230.79,32.9,9.9,5.5,47.49,Clear
"Fargo, ND",06/06/2020,38017,75,50.6,65.4,,,0,0,0,21.4,100.13,31.8,9.9,18.4,51.23,Clear
"Fargo, ND",06/07/2020,38017,98.7,65.4,80.3,,100.3,0.24,0,0,29.1,162.63,45.2,9.9,15.1,53.27,Rain
"Fargo, ND",06/08/2020,38017,86,67,77.4,,90.4,0.55,0,0,21,192.46,44.9,9.2,28,74.09,"Rain, Partially cloudy"
"Fargo, ND",06/09/2020,38017,72.2,57.2,64.9,,,0.41,0,0,27.8,330.38,42.8,7.5,75.7,85.51,"Rain, Overcast"
"Fargo, ND",06/10/2020,38017,72.9,54.2,62.9,,,0,0,0,29.4,294.13,38.4,9.9,26.4,63.36,Partially cloudy
"Fargo, ND",06/11/2020,38017,79,53.6,66.8,,,0,0,0,18.1,265.83,25.3,9.9,12.3,54.69,Clear
"Fargo, ND",06/12/2020,38017,73.4,54.4,65.6,,,0,0,0,14.5,55.83,20.8,9.9,32,58.88,Partially cloudy
"Fargo, ND",06/13/2020,38017,77,56.2,66.3,,,0,0,0,20.4,116.79,30.1,9.9,6.5,47.96,Clear
"Fargo, ND",06/14/2020,38017,82.2,62.2,72,,81.2,0,0,0,29.5,137.21,45.4,9.9,0,45.71,Clear
"Fargo, ND",06/15/2020,38017,91.2,72,79.9,,90.6,0,0,0,30.3,170.13,51.4,9.9,3.9,52.36,Clear
"Fargo, ND",06/16/2020,38017,97,70.7,84.4,,96.5,0,0,0,30.6,162.83,45.4,9.9,0,46.69,Clear
"Fargo, ND",06/17/2020,38017,97,74.2,85.8,,99,0,0,0,27.4,165.58,44.1,9.9,10,47.99,Clear
"Fargo, ND",06/18/2020,38017,84.8,62.4,71.7,,84.8,0.15,0,0,19.9,245.25,28,9.9,48.2,69.85,"Rain, Partially cloudy"
"Fargo, ND",06/19/2020,38017,73.2,53.4,63.9,,,0,0,0,15.2,264.42,21.9,9.9,36.3,56.99,Partially cloudy
"Fargo, ND",06/20/2020,38017,75.8,59.2,65.9,,,0.04,0,0,24.2,153.75,34.5,9.9,50.7,65.77,"Rain, Partially cloudy"
"Fargo, ND",06/21/2020,38017,71.7,56.6,63.7,,,0.01,0,0,13.7,231.46,17.2,9.8,46.7,68.85,"Rain, Partially cloudy"
"Fargo, ND",06/22/2020,38017,72,56.2,64.8,,,0,0,0,16.1,241.96,23,9.9,62.8,62.06,Partially cloudy
"Fargo, ND",06/23/2020,38017,77.8,55.2,67.2,,,0.04,0,0,15,255.58,27.8,9.8,26.1,61.24,"Rain, Partially cloudy"
"Fargo, ND",06/24/2020,38017,81.7,53.5,69.1,,80.1,0.05,0,0,8.9,108.33,,9.8,5,60.42,Rain
"Fargo, ND",06/25/2020,38017,90.9,63.9,72.8,,89.4,0.6,0,0,25.4,153.54,42.5,9.6,32.8,59.99,"Rain, Partially cloudy"
"Fargo, ND",06/26/2020,38017,84,65.2,74.3,,83.1,0,0,0,16.9,275.29,24.2,9.9,3.1,65.24,Clear
"Fargo, ND",06/27/2020,38017,89.7,61.3,76.5,,88.9,0,0,0,14.6,148.79,23.7,9.9,2.8,57.93,Clear
"Fargo, ND",06/28/2020,38017,89.2,71.2,80.3,,92.5,0,0,0,26.3,146.04,40.6,9.9,6.6,58.94,Clear
"Fargo, ND",06/29/2020,38017,84.7,68.2,76.3,,87.5,0.04,0,0,19,161.63,29.2,9.9,25.3,72.74,"Rain, Partially cloudy"
"Fargo, ND",06/30/2020,38017,88.3,70.3,79.7,,97.1,0,0,0,19.8,124.75,33.6,9.9,44.5,75.44,Partially cloudy
"Fargo, ND",07/01/2020,38017,84.8,68.2,76.3,,88,0.21,0,0,19.4,184.13,39.1,9.7,23.5,74.36,Rain
"Fargo, ND",07/02/2020,38017,90,72,81.1,,96.6,0,0,0,19.4,149.88,28.6,9.9,0,71.41,Clear
"Fargo, ND",07/03/2020,38017,90.9,74.2,82.5,,95.3,0,0,0,14.4,148.83,23,9.9,2.8,66.86,Clear
"Fargo, ND",07/04/2020,38017,88,73.2,80.5,,93.4,0,0,0,15.1,154.33,21.9,9.9,8.3,67.65,Clear
"Fargo, ND",07/05/2020,38017,90.9,69.7,78.8,,91.1,0,0,0,30.1,196.83,43.9,9.7,5.6,66.01,Clear
"Fargo, ND",07/06/2020,38017,85.7,68.2,74,,85.7,0.08,0,0,21.1,181.88,42.9,9.9,18.6,71.85,Rain
"Fargo, ND",07/07/2020,38017,87.2,64.2,76.2,,87.4,0,0,0,10,114.67,,9.9,21,68.27,Clear
"Fargo, ND",07/08/2020,38017,83.2,66.2,76,,88,0.82,0,0,19.3,154.67,33,9.4,53.2,78.3,"Rain, Partially cloudy"
"Fargo, ND",07/09/2020,38017,79.9,65.4,74.3,,,0,0,0,18,276.75,39.1,9.9,13.3,64.75,Clear
"Fargo, ND",07/10/2020,38017,81.9,59.2,71.5,,82.2,0,0,0,10.8,241.33,,9.9,7.1,65.71,Clear
"Fargo, ND",07/11/2020,38017,80.7,60.7,70.2,,82,0.26,0,0,12.6,189.21,29.8,9.9,32.5,76.08,"Rain, Partially cloudy"
"Fargo, ND",07/12/2020,38017,83,56.6,72.6,,83.5,0,0,0,10.7,144.42,,9.6,1.9,67.87,Clear
"Fargo, ND",07/13/2020,38017,84.8,68.2,75.9,,87,0,0,0,25.7,178.54,43.3,9.9,13.4,67.26,Clear
"Fargo, ND",07/14/2020,38017,79.9,62.4,70,,,0.06,0,0,14.6,237.29,20.7,9.9,24.6,62.1,Rain
"Fargo, ND",07/15/2020,38017,84.5,59.4,72.2,,82.8,0,0,0,23,217.42,33.5,9.9,7.1,57.5,Clear
"Fargo, ND",07/16/2020,38017,84.8,62.6,74,,84,0.1,0,0,20.3,201.21,52.8,9.9,16.3,63.21,Rain
"Fargo, ND",07/17/2020,38017,91.2,59.4,73.5,,100.3,0.97,0,0,32.4,123.13,45.2,9.3,12,73.6,Rain
"Fargo, ND",07/18/2020,38017,82.7,63.4,73.2,,85.5,0.28,0,0,23.3,237.54,35.6,9.9,18.3,74.34,Rain
"Fargo, ND",07/19/2020,38017,79,62.2,70,,,0.01,0,0,21.8,244.58,33,9.9,13.7,68.47,Rain
"Fargo, ND",07/20/2020,38017,78.2,57.4,68.1,,,0.28,0,0,11.5,63.75,19.7,9.4,30.6,76.19,"Rain, Partially cloudy"
"Fargo, ND",07/21/2020,38017,72.2,61.3,66.4,,,0.08,0,0,14.7,92.92,28.3,9.6,50.7,82.5,"Rain, Partially cloudy"
