Name,Datetime,fips,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Lincoln, NE",05/01/2020,31109,89.6,57.6,72.1,,86.4,0,0,0,19.3,152.27,34.5,9.9,3.9,42.1,Clear
"Lincoln, NE",05/02/2020,31109,72.8,56.5,65.3,,,0,0,0,20,144.17,31.1,9.9,36.9,48.83,Partially cloudy
"Lincoln, NE",05/03/2020,31109,77.9,51.9,65,,,0,0,0,9.6,125,,9.9,39.5,45.28,Partially cloudy
"Lincoln, NE",05/04/2020,31109,63.6,52.1,58.1,,,0.16,0,0,17,115,31.7,9.7,65.9,66.2,"Rain, Partially cloudy"
"Lincoln, NE",05/05/2020,31109,68.8,48.5,57.6,43,,0.01,0,0,31,279.58,51.8,9.9,16.7,54.24,Rain
"Lincoln, NE",05/06/2020,31109,61.6,42.8,51.7,40.9,,0,0,0,20.8,306.67,25.3,9.9,38.1,62.63,Partially cloudy
"Lincoln, NE",05/07/2020,31109,61,37.1,49.3,35,,0.09,0,0,14.7,91.25,23,9.7,50.9,69.23,"Rain, Partially cloudy"
"Lincoln, NE",05/08/2020,31109,58.8,37.9,49,29.9,,0.5,0,0,19.8,308.75,27.7,9.4,12.1,54.28,Rain
"Lincoln, NE",05/09/2020,31109,68.8,34.9,48.5,31.2,,0.03,0,0,20.5,207.5,36.9,9.9,17.2,62.68,Rain
"Lincoln, NE",05/10/2020,31109,56.8,36.9,47.3,28.6,,0,0,0,27.5,330.42,39.1,9.9,23.2,46.41,Clear
"Lincoln, NE",05/11/2020,31109,50.9,35.6,44.9,31.9,,0,0,0,9.3,270.5,,9.9,69.4,48.66,Partially cloudy
"Lincoln, NE",05/12/2020,31109,60.9,44.6,51.4,43.3,,0,0,0,13.7,135,26.4,9.9,72.9,45.71,Partially cloudy
"Lincoln, NE",05/13/2020,31109,55,48.5,51.8,44.4,,0.19,0,0,13.7,119.17,23,6.2,83.5,83.04,"Rain, Overcast"
"Lincoln, NE",05/14/2020,31109,69.6,55,59.3,,,0.14,0,0,10.4,130,,5.3,64.8,89.15,"Rain, Partially cloudy"
"Lincoln, NE",05/15/2020,31109,75.6,48.6,62.7,44.6,,0,0,0,11.8,168.64,23,9.5,5.5,59.82,Clear
"Lincoln, NE",05/16/2020,31109,70.9,52.1,61.6,,,0.06,0,0,13.7,168.75,,9.7,50.5,74.99,"Rain, Partially cloudy"
"Lincoln, NE",05/17/2020,31109,65.4,55,59.7,,,0,0,0,23.5,327.92,36.8,9.9,74,67.53,Partially cloudy
"Lincoln, NE",05/18/2020,31109,67.9,53.8,58.5,,,0,0,0,17.9,232.08,31.1,9.9,70.9,65.83,Partially cloudy
"Lincoln, NE",05/19/2020,31109,68.8,54.9,59.9,,,0,0,0,10.6,61.82,,9.9,60.9,71.78,Partially cloudy
"Lincoln, NE",05/20/2020,31109,70,52.5,62.2,,,0,0,0,13.8,104.17,20.8,9.7,77,73.67,Overcast
"Lincoln, NE",05/21/2020,31109,73.8,60.9,65.9,,,0.19,0,0,17.7,133.75,23,9.3,75.6,75.01,"Rain, Overcast"
"Lincoln, NE",05/22/2020,31109,66.7,60.5,63.1,,,1.44,0,0,20.8,116.71,34.4,6.3,80.6,88.69,"Rain, Overcast"
"Lincoln, NE",05/23/2020,31109,78.9,59.1,68.4,,,0.06,0,0,12.7,180.43,33.3,8.4,54.8,75.98,"Rain, Partially cloudy"
"Lincoln, NE",05/24/2020,31109,76.9,60.9,68.8,,,0.63,0,0,30.5,131.88,50,9.6,37,80.77,"Rain, Partially cloudy"
"Lincoln, NE",05/25/2020,31109,64.9,61,62.9,,,0.43,0,0,13.6,266.96,21.9,7.6,76.4,89.29,"Rain, Overcast"
"Lincoln, NE",05/26/2020,31109,67.9,60,62.9,,,0.07,0,0,15.7,337.08,30.5,7.7,85.8,83.94,"Rain, Overcast"
"Lincoln, NE",05/27/2020,31109,75.2,59.2,67,,,0,0,0,13.8,167.08,24.2,9.9,72.2,72.96,Partially cloudy
"Lincoln, NE",05/28/2020,31109,82.7,62.9,71.8,,81,0,0,0,26.3,232.08,42.5,9.9,22.8,54.81,Clear
"Lincoln, NE",05/29/2020,31109,79.8,51.5,67.1,,,0,0,0,14.7,296.67,26.4,9.9,3.9,45.58,Clear
"Lincoln, NE",05/30/2020,31109,63.8,53.8,58.6,,,0.08,0,0,11.5,81.67,,9.7,70.7,76.24,"Rain, Partially cloudy"
"Lincoln, NE",05/31/2020,31109,83.7,58.8,69.9,,83.2,0.02,0,0,25.2,142.08,37.9,9.9,35.6,61.48,"Rain, Partially cloudy"
"Lincoln, NE",06/01/2020,31109,91.8,69.1,79.5,,91.5,0,0,0,25.7,192.92,40.3,9.9,5.5,51.93,Clear
"Lincoln, NE",06/02/2020,31109,95.7,69.1,81.7,,97.3,0,0,0,19.3,201.25,29.8,9.9,0,55.51,Clear
"Lincoln, NE",06/03/2020,31109,91.8,69.9,80.8,,90.7,0.02,0,0,23.8,120.71,64.5,9.9,5.2,51.97,Rain
"Lincoln, NE",06/04/2020,31109,89.7,62.7,76.8,,94.5,0.32,0,0,12.8,181.25,51.7,9.8,4.4,67.96,Rain
"Lincoln, NE",06/05/2020,31109,91.8,65.9,79.6,,95.2,0.5,0,0,16.8,126.96,56.5,9.6,16.3,63.71,Rain
"Lincoln, NE",06/06/2020,31109,93.4,73.8,83.6,,99.6,0,0,0,19.1,146.67,29.3,9.9,4.3,63.94,Clear
"Lincoln, NE",06/07/2020,31109,93.5,74.9,84.8,,96,0,0,0,26.4,171.67,46,9.9,0,57.98,Clear
"Lincoln, NE",06/08/2020,31109,92.7,74.7,83.1,,96.1,0,0,0,23,167.92,37.4,9.9,1.8,56.97,Clear
"Lincoln, NE",06/09/2020,31109,88.4,59.9,75.2,,92.2,0.25,0,0,34.3,178.33,52.4,9.6,35.5,69.39,"Rain, Partially cloudy"
"Lincoln, NE",06/10/2020,31109,77.8,57.8,67.1,,,0.03,0,0,33.5,314.58,56.4,9.9,41.1,52.5,"Rain, Partially cloudy"
"Lincoln, NE",06/11/2020,31109,88.6,55.8,73,,86.8,0,0,0,10.7,132,,9.9,0,48.66,Clear
"Lincoln, NE",06/12/2020,31109,89.6,56.3,76.1,,88,0,0,0,11.8,161.67,19.7,9.9,0,52.36,Clear
"Lincoln, NE",06/13/2020,31109,92.5,68.7,81.2,,91.1,0,0,0,17.9,132.5,31.7,9.9,0,48.18,Clear
"Lincoln, NE",06/14/2020,31109,93.5,73.6,83.3,,92.9,0,0,0,25.4,163.75,38.1,9.9,1,46.09,Clear
"Lincoln, NE",06/15/2020,31109,92.5,72,82.8,,91.2,0,0,0,24,178.75,36.1,9.9,0,44.42,Clear
"Lincoln, NE",06/16/2020,31109,92.4,69.8,82,,91,0,0,0,22.1,167.5,35.6,9.9,5.8,50.3,Clear
"Lincoln, NE",06/17/2020,31109,93.3,71.8,83.1,,95.1,0,0,0,22.1,161.67,38,9.9,2.4,54.67,Clear
"Lincoln, NE",06/18/2020,31109,83.8,62.8,74.7,,85.5,0.9,0,0,17.8,173.33,31.1,9.1,39.9,72.55,"Rain, Partially cloudy"
"Lincoln, NE",06/19/2020,31109,74.8,62.8,68.8,,,0.41,0,0,10.5,92.5,,9.8,65,74.56,"Rain, Partially cloudy"
"Lincoln, NE",06/20/2020,31109,83.5,64,73.6,,84.5,0,0,0,11.6,187.92,,9.9,41.3,68.04,Partially cloudy
"Lincoln, NE",06/21/2020,31109,84.6,66.6,75.2,,85.5,0.06,0,0,15.8,162.08,31.1,9.9,10.9,69.63,Rain
"Lincoln, NE",06/22/2020,31109,83.6,62.9,72.4,,83.8,0.41,0,0,14.7,267.5,44.5,9.7,16.5,70.71,Rain
"Lincoln, NE",06/23/2020,31109,80.7,56.8,70.1,,80.2,0,0,0,16.6,244.58,26.4,9.9,4.9,60.25,Clear
"Lincoln, NE",06/24/2020,31109,85,54.1,70.8,,83.5,0,0,0,6.6,101.22,,9.9,0,60.41,Clear
"Lincoln, NE",06/25/2020,31109,91.7,64.9,78.2,,93.9,0.33,0,0,16.8,164.58,27,9.6,15.7,62.19,Rain
"Lincoln, NE",06/26/2020,31109,88.7,75.3,82,,94.9,0,0,0,15.9,151.3,,9.9,20.7,61.43,Clear
"Lincoln, NE",06/27/2020,31109,83.8,69.8,77.4,,87,0,0,0,14.9,177.5,27,9.9,29,69.94,Partially cloudy
"Lincoln, NE",06/28/2020,31109,87.8,67.7,79.6,,96.4,0.29,0,0,20.8,170,33.3,8.2,36.3,72.18,"Rain, Partially cloudy"
"Lincoln, NE",06/29/2020,31109,87.5,76.7,81.5,,95.2,0,0,0,20.9,163.75,33.3,9.9,48.4,72.7,Partially cloudy
"Lincoln, NE",06/30/2020,31109,88.6,76.6,82.4,,96.7,0,0,0,19,145,31.1,9.7,42.6,72.66,Partially cloudy
"Lincoln, NE",07/01/2020,31109,87.6,67.8,77.1,,90.3,1.7,0,0,18,148.04,40.4,9,17.7,70.84,Rain
"Lincoln, NE",07/02/2020,31109,86.8,68.9,78.1,,92.5,0,0,0,13.6,93.91,19.7,9.9,23.6,75.1,Clear
"Lincoln, NE",07/03/2020,31109,89.5,72.9,80,,95,0,0,0,9.3,112.5,,9.7,15.4,73.35,Clear
"Lincoln, NE",07/04/2020,31109,88.6,67.8,79.4,,91,0,0,0,9.5,95,17.2,9,15.2,67.25,Clear
"Lincoln, NE",07/05/2020,31109,87.8,69.9,79.2,,92.3,0,0,0,11.6,154.78,19.7,7.5,18.5,69.94,Clear
"Lincoln, NE",07/06/2020,31109,89.7,69.1,80.3,,92.8,0,0,0,12.3,173.48,20.8,9,11.2,67.66,Clear
"Lincoln, NE",07/07/2020,31109,90.9,69.8,81.2,,96.6,0,0,0,14.8,136.25,34.4,9.9,6.5,65.25,Clear
"Lincoln, NE",07/08/2020,31109,91.8,70.4,82.9,,96.9,0,0,0,16.8,179.17,29.8,9.9,2.8,63.2,Clear
"Lincoln, NE",07/09/2020,31109,85.7,64.9,76.5,,86.2,0.59,0,0,27.5,198.91,55.9,9.6,8.9,66.41,Rain
"Lincoln, NE",07/10/2020,31109,87.9,64.9,77.9,,90.8,0,0,0,14.7,142.08,,9.9,0,69.31,Clear
"Lincoln, NE",07/11/2020,31109,87.8,65.8,77.4,,90.7,0.32,0,0,20.8,262.17,43.8,9.7,7.2,65.19,Rain
"Lincoln, NE",07/12/2020,31109,83.7,62.6,73.2,,84.6,0,0,0,11.6,173.18,16.1,9.9,0,66.94,Clear
"Lincoln, NE",07/13/2020,31109,89.7,65.7,78.3,,93.6,0,0,0,20,173.33,31.1,9.9,0,65.54,Clear
"Lincoln, NE",07/14/2020,31109,88.8,71.8,78.4,,94.1,0,0,0,15.6,179.58,19.7,9.8,3,68.11,Clear
"Lincoln, NE",07/15/2020,31109,78,63.9,70.7,,,0.08,0,0,13.6,91.3,,9.9,67.1,73.27,"Rain, Partially cloudy"
"Lincoln, NE",07/16/2020,31109,86.9,62.9,76,,91.8,0,0,0,11.8,141.67,,8.2,37.9,76.63,Partially cloudy
"Lincoln, NE",07/17/2020,31109,91.7,71.1,81.8,,105.4,0,0,0,16.8,167.5,27.7,9.2,8.6,75.46,Clear
"Lincoln, NE",07/18/2020,31109,95.7,79.9,87,,105.8,0,0,0,20.3,209.17,32.2,9.2,3.7,61.75,Clear
"Lincoln, NE",07/19/2020,31109,87.8,73.2,80.5,,88.3,0,0,0,11.6,165.22,,9.8,24.2,60.19,Clear
"Lincoln, NE",07/20/2020,31109,82.6,67,74.8,,85.1,0.63,0,0,14.6,105.65,23,9.5,54.9,74.83,"Rain, Partially cloudy"
"Lincoln, NE",07/21/2020,31109,85.5,69.8,76.7,,87.7,1.31,0,0,14.6,88.95,,9.3,49.8,72.27,"Rain, Partially cloudy"
"Lincoln, NE",07/22/2020,31109,83.7,65.7,75.8,,86.3,0,0,0,8.4,167.39,,9.8,16.5,68.96,Clear
"Lincoln, NE",07/23/2020,31109,90.7,71.7,80.9,,99.4,0,0,0,16.7,159.17,25.3,9.2,12.8,70.76,Clear
"Lincoln, NE",07/24/2020,31109,90.9,74.8,82.8,,100.6,0,0,0,17.9,167.08,28.8,9.1,11.9,73.21,Clear
"Lincoln, NE",07/25/2020,31109,91,75.7,83.6,,100.7,0,0,0,20.1,180.83,32.2,9.3,8.6,69.51,Clear
