Name,Date time,fips,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Corpus Christi, TX",05/01/2020,48355,85.3,60.6,73.5,,85.8,0,0,0,19.8,150.63,25.3,9.9,22.6,65.66,Clear
"Corpus Christi, TX",05/02/2020,48355,87.2,71.7,78.7,,93.2,0,0,0,23.2,154.42,32,9.9,55.1,75.43,Partially cloudy
"Corpus Christi, TX",05/03/2020,48355,87.3,72.2,79.3,,93.3,0,0,0,19.8,160.08,27.7,9.9,48.1,75.24,Partially cloudy
"Corpus Christi, TX",05/04/2020,48355,88.3,74,80.3,,97.9,0,0,0,21.3,159.38,31.1,9.7,63.1,82.68,Partially cloudy
"Corpus Christi, TX",05/05/2020,48355,88.5,76.7,81.8,,99.3,0,0,0,17.1,136.71,23,9.4,62.3,82.33,Partially cloudy
"Corpus Christi, TX",05/06/2020,48355,82.9,74,77.5,,87.2,0,0,0,19.8,77.5,30,9.9,63.4,74.54,Partially cloudy
"Corpus Christi, TX",05/07/2020,48355,86.6,72.5,79.4,,94,0.01,0,0,22.8,128.42,32.4,9.9,63.4,77.71,"Rain, Partially cloudy"
"Corpus Christi, TX",05/08/2020,48355,91.7,73.7,81.6,,99.2,0.03,0,0,26.8,149.38,34.8,9.8,50.8,74.59,"Rain, Partially cloudy"
"Corpus Christi, TX",05/09/2020,48355,75.6,62.9,69.9,,,0.65,0,0,22.5,73.38,33.3,9.4,63.9,73.78,"Rain, Partially cloudy"
"Corpus Christi, TX",05/10/2020,48355,79.7,66.2,72.5,,,0,0,0,16,69.5,23,9.9,36.8,73.83,Partially cloudy
"Corpus Christi, TX",05/11/2020,48355,83.6,68.6,76,,88,0,0,0,20.3,105.96,28.2,9.9,50.4,80.05,Partially cloudy
"Corpus Christi, TX",05/12/2020,48355,87.5,72.2,79.4,,91.1,0,0,0,26.5,152.42,36.8,9.9,51.2,74.74,Partially cloudy
"Corpus Christi, TX",05/13/2020,48355,86.3,74,80,,94.2,0,0,0,21.5,132.58,29.8,9.9,60.7,79.96,Partially cloudy
"Corpus Christi, TX",05/14/2020,48355,86.7,68,78.1,,95.4,0.42,0,0,20.4,150.58,29.9,9.7,44.4,83.68,"Rain, Partially cloudy"
"Corpus Christi, TX",05/15/2020,48355,86.1,77.3,81.1,,98.9,0,0,0,21.4,141.29,27.2,9.1,74.5,87.84,Partially cloudy
"Corpus Christi, TX",05/16/2020,48355,83.7,67.1,74.5,,87.3,2.16,0,0,20.7,163.17,43.8,9.3,44.6,85.44,"Rain, Partially cloudy"
"Corpus Christi, TX",05/17/2020,48355,89,69.1,78,,94.6,0,0,0,15.1,114,,9.9,33.2,76.53,Partially cloudy
"Corpus Christi, TX",05/18/2020,48355,88.5,68.9,78.4,,92.1,0,0,0,13.8,168.08,18.3,9.9,7.1,77.95,Clear
"Corpus Christi, TX",05/19/2020,48355,91.4,69.5,80.3,,108.3,0,0,0,17.6,174.04,28.9,9.4,28.3,85.61,Partially cloudy
"Corpus Christi, TX",05/20/2020,48355,89.8,76.9,82.3,,106,0,0,0,22.1,160.58,30,8.9,49.2,84.39,Partially cloudy
"Corpus Christi, TX",05/21/2020,48355,88.2,77.8,82.3,,100.2,0,0,0,25.4,148.25,35.2,9.7,44.8,82.82,Partially cloudy
"Corpus Christi, TX",05/22/2020,48355,89.6,79.7,83.5,,103.4,0,0,0,20.7,143.96,26.4,9,63.1,83.65,Partially cloudy
"Corpus Christi, TX",05/23/2020,48355,88.4,79.7,82.9,,101.1,0,0,0,18.6,143.96,29.3,9.5,73.1,82.64,Partially cloudy
"Corpus Christi, TX",05/24/2020,48355,88.2,77.4,82.5,,100,0,0,0,21.2,144.38,30.2,9.8,64.9,82.51,Partially cloudy
"Corpus Christi, TX",05/25/2020,48355,83.2,65.9,76.1,,88.3,1.42,0,0,36.3,148.58,50.8,9.7,39.8,79.83,"Rain, Partially cloudy"
"Corpus Christi, TX",05/26/2020,48355,86.5,70.4,78.4,,90.6,0.4,0,0,28.8,131.33,37.7,9.6,46.8,78.13,"Rain, Partially cloudy"
"Corpus Christi, TX",05/27/2020,48355,86.7,69,78.8,,95.8,0,0,0,18.2,190.17,25.3,9.7,19.4,83.67,Clear
"Corpus Christi, TX",05/28/2020,48355,91.2,74.9,82.2,,105.8,0.06,0,0,21.7,150.54,35,9.9,39.1,80.95,"Rain, Partially cloudy"
"Corpus Christi, TX",05/29/2020,48355,87.3,73.2,79.5,,92,0,0,0,13.6,181.13,,9.9,39.5,78.38,Partially cloudy
"Corpus Christi, TX",05/30/2020,48355,86.2,73.3,79.5,,91.9,0,0,0,17,127.63,27,9.9,48.6,78.38,Partially cloudy
"Corpus Christi, TX",05/31/2020,48355,83.4,72.4,76.5,,89.3,0.74,0,0,14.5,135.71,21.9,9.1,49.9,90.23,"Rain, Partially cloudy"
"Corpus Christi, TX",06/01/2020,48355,78.9,72.8,75.6,,,2.32,0,0,18.7,107.04,23.6,8.4,56,92.57,"Rain, Partially cloudy"
"Corpus Christi, TX",06/02/2020,48355,86.1,73.2,79.7,,96,0.07,0,0,14.9,74.25,,9.5,46.9,85.88,"Rain, Partially cloudy"
"Corpus Christi, TX",06/03/2020,48355,87.8,74.3,80.7,,97.7,0,0,0,13.6,107.63,,9.7,35.6,84.74,Partially cloudy
"Corpus Christi, TX",06/04/2020,48355,87.1,74.8,80.6,,98.4,0.07,0,0,15.5,158.96,19.7,9.9,36.2,84.48,"Rain, Partially cloudy"
"Corpus Christi, TX",06/05/2020,48355,88.8,75,81.5,,97.4,0,0,0,12.4,127.13,,9.9,28,79.87,Partially cloudy
"Corpus Christi, TX",06/06/2020,48355,90.2,75,82.3,,99.3,0,0,0,10.9,161.67,,9.9,28.3,78.28,Partially cloudy
"Corpus Christi, TX",06/07/2020,48355,94.9,74.6,83.4,,106.9,0,0,0,11,213.54,,9.9,22.6,77.08,Clear
"Corpus Christi, TX",06/08/2020,48355,92.6,76,83.6,,113.2,0,0,0,15.3,185.13,24.6,9.9,17.3,82.25,Clear
"Corpus Christi, TX",06/09/2020,48355,90.2,77.4,83.8,,107.5,0,0,0,14.1,156.33,24.2,9,46.2,85,Partially cloudy
"Corpus Christi, TX",06/10/2020,48355,90.5,78.3,83.6,,94.3,0,0,0,23.4,83.92,31.6,8.6,43.6,70.13,Partially cloudy
"Corpus Christi, TX",06/11/2020,48355,89.2,73.7,81.2,,91.3,0,0,0,17.9,77.83,21.9,9.9,22,65.59,Clear
"Corpus Christi, TX",06/12/2020,48355,88.6,68.1,78.4,,91.7,0,0,0,12.2,113.42,19.7,9.9,23.4,69.27,Clear
"Corpus Christi, TX",06/13/2020,48355,89.4,68.4,78.6,,89.9,0,0,0,14.7,183.88,33.3,9.9,15,66.45,Clear
"Corpus Christi, TX",06/14/2020,48355,88.2,67.2,79.1,,93.1,0,0,0,14.1,91.92,21.5,9.9,22.3,69.1,Clear
"Corpus Christi, TX",06/15/2020,48355,88.2,74.6,80.9,,98.9,0.07,0,0,17.7,109.38,25.3,9.7,35.3,80.22,"Rain, Partially cloudy"
"Corpus Christi, TX",06/16/2020,48355,88,75.6,81.6,,98.2,0,0,0,15.4,125.25,23,9.9,31.2,77.42,Partially cloudy
"Corpus Christi, TX",06/17/2020,48355,87.7,72.5,80.8,,96.8,0,0,0,16.1,138.92,20.8,9.9,31.7,76.98,Partially cloudy
"Corpus Christi, TX",06/18/2020,48355,86.9,74.7,79.9,,99.3,0.63,0,0,18.2,135.67,36.8,9.7,39.6,86.03,"Rain, Partially cloudy"
"Corpus Christi, TX",06/19/2020,48355,87.5,75.7,82.3,,99,0.04,0,0,18.1,145.46,26.7,9.9,33,81.63,"Rain, Partially cloudy"
"Corpus Christi, TX",06/20/2020,48355,89.3,76.9,83.2,,101.3,0,0,0,17.5,148.08,25.6,9.9,37,79.55,Partially cloudy
"Corpus Christi, TX",06/21/2020,48355,89.2,77.7,83.2,,102.2,0.02,0,0,20.7,159.29,33.3,9.8,32.1,82.35,"Rain, Partially cloudy"
"Corpus Christi, TX",06/22/2020,48355,89.7,80.1,84.4,,105.6,0.21,0,0,24.4,159.38,34.5,9.5,46.3,82.91,"Rain, Partially cloudy"
"Corpus Christi, TX",06/23/2020,48355,88.5,76.9,82.3,,99.3,0.05,0,0,19.2,171.88,26.7,9.6,33.1,83.52,"Rain, Partially cloudy"
"Corpus Christi, TX",06/24/2020,48355,84.9,74.3,77.1,,94.7,1.43,0,0,12.2,165.52,40.3,9.7,45.1,90.75,"Rain, Partially cloudy"
"Corpus Christi, TX",06/25/2020,48355,87.5,72.4,78.9,,99.1,0,0,0,16.2,205.87,24.2,9.8,48,86.23,Partially cloudy
"Corpus Christi, TX",06/26/2020,48355,82.1,73.2,79.3,,91.1,1,0,0,14.7,130.5,34.6,6.5,68.3,93.12,"Rain, Partially cloudy"
"Corpus Christi, TX",06/27/2020,48355,87.5,79.2,82.4,,101.5,0,0,0,20.4,154.88,27.2,5.9,63,88.89,Partially cloudy
"Corpus Christi, TX",06/28/2020,48355,86.9,80.5,83.1,,99.9,0,0,0,25.8,163.63,35,9,59.2,86.6,Partially cloudy
"Corpus Christi, TX",06/29/2020,48355,87.9,80.7,83.8,,104.9,0,0,0,25.2,161,36.7,9.6,65,85.41,Partially cloudy
"Corpus Christi, TX",06/30/2020,48355,88.7,80.5,84,,106.2,0,0,0,21.9,163.42,31.4,8.9,68.4,85.8,Partially cloudy
"Corpus Christi, TX",07/01/2020,48355,89.7,79.6,84,,106.9,0,0,0,21,163.17,28.9,8.7,59,85.84,Partially cloudy
"Corpus Christi, TX",07/02/2020,48355,90.8,79.3,84.1,,107.3,0,0,0,17.6,160.21,25.3,8.8,51,83.45,Partially cloudy
"Corpus Christi, TX",07/03/2020,48355,91.4,74.8,82.5,,106,0,0,0,12.3,169.58,,9.5,26.5,82.28,Partially cloudy
"Corpus Christi, TX",07/04/2020,48355,92.8,73.7,82.8,,109.1,0,0,0,14,170.5,19.7,9.3,27.1,82.88,Partially cloudy
"Corpus Christi, TX",07/05/2020,48355,92.6,75.3,83.2,,109.9,0,0,0,17,171.5,26.4,9.8,21.5,83.69,Clear
"Corpus Christi, TX",07/06/2020,48355,91.7,78.7,84.5,,107.6,0,0,0,19.1,161.54,28.3,9.7,39.3,82.16,Partially cloudy
"Corpus Christi, TX",07/07/2020,48355,91.7,80.1,84.7,,107,0,0,0,18.2,160.21,27.2,9.7,41.2,83.46,Partially cloudy
"Corpus Christi, TX",07/08/2020,48355,91.3,79.3,84.7,,107.9,0,0,0,21.7,161.83,31.1,8.8,45.5,83.76,Partially cloudy
"Corpus Christi, TX",07/09/2020,48355,90.9,79.3,84.6,,106.4,0,0,0,22.2,158.5,29.4,8.8,47.5,83.7,Partially cloudy
"Corpus Christi, TX",07/10/2020,48355,92.4,80,85.1,,110.9,0,0,0,19.9,155.17,28.6,9.8,36.5,84.23,Partially cloudy
"Corpus Christi, TX",07/11/2020,48355,93.3,78.6,84.5,,110.5,0,0,0,15.3,157.33,21.9,9.6,26,83.65,Partially cloudy
"Corpus Christi, TX",07/12/2020,48355,94.1,76.4,84.1,,114.2,0,0,0,15.4,158.5,25.3,9.6,42.2,84.56,Partially cloudy
"Corpus Christi, TX",07/13/2020,48355,94.5,77.3,84.8,,111.4,0,0,0,20.3,168.54,28.2,9.9,17.7,81.39,Clear
"Corpus Christi, TX",07/14/2020,48355,93.2,75.9,84.4,,108.8,0,0,0,21.6,166.46,31.2,8.8,22.9,80.74,Clear
"Corpus Christi, TX",07/15/2020,48355,92.4,78,84.7,,104.3,0,0,0,23.3,159.33,30,9.7,12.7,79.3,Clear
"Corpus Christi, TX",07/16/2020,48355,92.9,79,85.4,,107.8,0,0,0,19.7,151.92,26.4,9.6,25.7,80.19,Partially cloudy
"Corpus Christi, TX",07/17/2020,48355,93,75.4,81.9,,106,0.03,0,0,23,142.38,33.8,9.7,34.3,83.94,"Rain, Partially cloudy"
"Corpus Christi, TX",07/18/2020,48355,91.3,75.2,82.5,,102.2,0,0,0,16.2,130.75,24.2,9.9,42.4,78.25,Partially cloudy
"Corpus Christi, TX",07/19/2020,48355,92.4,74.4,83.6,,102.7,0,0,0,14.8,144.83,20.8,9.8,29.2,77.24,Partially cloudy
"Corpus Christi, TX",07/20/2020,48355,93.9,76.2,84.3,,107.2,0,0,0,15.4,139.71,23,9.9,27.7,77.61,Partially cloudy
"Corpus Christi, TX",07/21/2020,48355,92.5,76.2,84.2,,104,0.16,0,0,16.2,188.54,23,9.9,35,76.79,"Rain, Partially cloudy"
"Corpus Christi, TX",07/22/2020,48355,94.2,78.7,85.5,,105.5,0,0,0,15.5,137.5,20.8,9.9,34.3,75.96,Partially cloudy
"Corpus Christi, TX",07/23/2020,48355,93.1,78.5,84.7,,103.8,0.21,0,0,16.7,125.79,20.8,9.8,26.4,76.6,"Rain, Partially cloudy"
"Corpus Christi, TX",07/24/2020,48355,96,77.2,84.8,,108.4,0.46,0,0,20.5,166.29,37.7,9.9,41.8,75.04,"Rain, Partially cloudy"
"Corpus Christi, TX",07/25/2020,48355,83.2,78.4,80,,91.5,2.02,0,0,37.3,167.5,54,6.2,67.5,88.61,"Rain, Partially cloudy"
"Corpus Christi, TX",07/26/2020,48355,88.1,78.3,82.7,,103.7,0.68,0,0,34.3,105.92,48.7,8.9,66.8,85.98,"Rain, Partially cloudy"
"Corpus Christi, TX",07/27/2020,48355,90.7,78.8,84.4,,106.1,0.06,0,0,16.9,108.17,24.2,9.9,50.1,82.02,"Rain, Partially cloudy"
"Corpus Christi, TX",07/28/2020,48355,92.5,78.3,83.9,,106.5,0,0,0,17.6,141.17,28.2,9.4,36.9,79.74,Partially cloudy
"Corpus Christi, TX",07/29/2020,48355,90,75.7,82.1,,102.2,0.14,0,0,18,158.21,30.1,9.8,43.8,81.39,"Rain, Partially cloudy"
"Corpus Christi, TX",07/30/2020,48355,92.3,77.8,84.8,,105.8,0,0,0,20.4,158.42,26.4,9.9,43.6,78.55,Partially cloudy
"Corpus Christi, TX",07/31/2020,48355,95.2,78.6,86.3,,111.5,0,0,0,17.7,161.83,24.2,9.8,32.1,76.46,Partially cloudy
"Corpus Christi, TX",08/01/2020,48355,93.9,79.4,83.9,,107.9,0.09,0,0,24.9,167.71,36.4,9.6,45.2,81,"Rain, Partially cloudy"
"Corpus Christi, TX",08/02/2020,48355,92.3,75.3,83.6,,103.1,0,0,0,11.4,169,,9.9,28.3,77.03,Partially cloudy
"Corpus Christi, TX",08/03/2020,48355,95.2,75.4,84.2,,104.5,0,0,0,10.9,172.58,,9.9,27.2,75.63,Partially cloudy
"Corpus Christi, TX",08/04/2020,48355,91.5,75.4,83.2,,101.4,0,0,0,12,180.5,29.8,9.9,31.5,77.06,Partially cloudy
"Corpus Christi, TX",08/05/2020,48355,92,76.1,84,,102.2,0,0,0,14.2,157.08,19.7,9.9,23.7,75.41,Clear
"Corpus Christi, TX",08/06/2020,48355,91.3,78.5,84.8,,106.2,0,0,0,16.2,140.92,23,9.9,35,76.77,Partially cloudy
"Corpus Christi, TX",08/07/2020,48355,91.8,80.2,85.5,,104.3,0.01,0,0,16.1,141.21,19.7,9.9,33.7,76.09,"Rain, Partially cloudy"
