datetime,county,state,fips,cases,deaths,day,casecount,lat,long,Temperature
05/01/2020,Cass,North Dakota,38017,542,16,1,15,47.8772,-96.7898,62.4
05/02/2020,Cass,North Dakota,38017,572,17,2,30,47.8772,-96.7898,57.7
05/03/2020,Cass,North Dakota,38017,605,18,3,33,47.8772,-96.7898,43
05/04/2020,Cass,North Dakota,38017,630,18,4,25,47.8772,-96.7898,44.8
05/05/2020,Cass,North Dakota,38017,643,18,5,13,47.8772,-96.7898,45.1
05/06/2020,Cass,North Dakota,38017,686,23,6,43,47.8772,-96.7898,50.6
05/07/2020,Cass,North Dakota,38017,709,23,7,23,47.8772,-96.7898,43.9
05/08/2020,Cass,North Dakota,38017,752,24,8,43,47.8772,-96.7898,40.4
05/09/2020,Cass,North Dakota,38017,781,26,9,29,47.8772,-96.7898,39.3
05/10/2020,Cass,North Dakota,38017,805,26,10,24,47.8772,-96.7898,41.3
05/11/2020,Cass,North Dakota,38017,821,27,11,16,47.8772,-96.7898,37.7
05/12/2020,Cass,North Dakota,38017,866,29,12,45,47.8772,-96.7898,41.6
05/13/2020,Cass,North Dakota,38017,935,31,13,69,47.8772,-96.7898,49
05/14/2020,Cass,North Dakota,38017,991,31,14,56,47.8772,-96.7898,54
05/15/2020,Cass,North Dakota,38017,1032,32,15,41,47.8772,-96.7898,52.6
05/16/2020,Cass,North Dakota,38017,1106,32,16,74,47.8772,-96.7898,58.6
05/17/2020,Cass,North Dakota,38017,1147,33,17,41,47.8772,-96.7898,60.6
05/18/2020,Cass,North Dakota,38017,1173,33,18,26,47.8772,-96.7898,63.8
05/19/2020,Cass,North Dakota,38017,1229,34,19,56,47.8772,-96.7898,65.6
05/20/2020,Cass,North Dakota,38017,1277,38,20,48,47.8772,-96.7898,65
05/21/2020,Cass,North Dakota,38017,1370,40,21,93,47.8772,-96.7898,65.8
05/22/2020,Cass,North Dakota,38017,1442,41,22,72,47.8772,-96.7898,66.7
05/23/2020,Cass,North Dakota,38017,1487,41,23,45,47.8772,-96.7898,67.2
05/24/2020,Cass,North Dakota,38017,1528,42,24,41,47.8772,-96.7898,65.2
05/25/2020,Cass,North Dakota,38017,1564,43,25,36,47.8772,-96.7898,63.8
05/26/2020,Cass,North Dakota,38017,1580,43,26,16,47.8772,-96.7898,63.9
05/27/2020,Cass,North Dakota,38017,1596,45,27,16,47.8772,-96.7898,70.7
05/28/2020,Cass,North Dakota,38017,1632,46,28,36,47.8772,-96.7898,61.8
05/29/2020,Cass,North Dakota,38017,1661,48,29,29,47.8772,-96.7898,56.7
05/30/2020,Cass,North Dakota,38017,1685,49,30,24,47.8772,-96.7898,56.4
05/31/2020,Cass,North Dakota,38017,1705,50,31,20,47.8772,-96.7898,66
06/01/2020,Cass,North Dakota,38017,1744,50,32,39,47.8772,-96.7898,79.9
06/02/2020,Cass,North Dakota,38017,1762,54,33,18,47.8772,-96.7898,73.7
06/03/2020,Cass,North Dakota,38017,1783,55,34,21,47.8772,-96.7898,71.5
06/04/2020,Cass,North Dakota,38017,1803,55,35,20,47.8772,-96.7898,71.9
06/05/2020,Cass,North Dakota,38017,1834,59,36,31,47.8772,-96.7898,68.3
06/06/2020,Cass,North Dakota,38017,1880,60,37,46,47.8772,-96.7898,65.4
06/07/2020,Cass,North Dakota,38017,1911,60,38,31,47.8772,-96.7898,80.3
06/08/2020,Cass,North Dakota,38017,1917,60,39,6,47.8772,-96.7898,77.4
06/09/2020,Cass,North Dakota,38017,1930,60,40,13,47.8772,-96.7898,64.9
06/10/2020,Cass,North Dakota,38017,1958,61,41,28,47.8772,-96.7898,62.9
06/11/2020,Cass,North Dakota,38017,1984,62,42,26,47.8772,-96.7898,66.8
06/12/2020,Cass,North Dakota,38017,2006,62,43,22,47.8772,-96.7898,65.6
06/13/2020,Cass,North Dakota,38017,2037,62,44,31,47.8772,-96.7898,66.3
06/14/2020,Cass,North Dakota,38017,2044,62,45,7,47.8772,-96.7898,72
06/15/2020,Cass,North Dakota,38017,2058,62,46,14,47.8772,-96.7898,79.9
06/16/2020,Cass,North Dakota,38017,2067,62,47,9,47.8772,-96.7898,84.4
06/17/2020,Cass,North Dakota,38017,2084,62,48,17,47.8772,-96.7898,85.8
06/18/2020,Cass,North Dakota,38017,2091,63,49,7,47.8772,-96.7898,71.7
06/19/2020,Cass,North Dakota,38017,2104,64,50,13,47.8772,-96.7898,63.9
06/20/2020,Cass,North Dakota,38017,2118,64,51,14,47.8772,-96.7898,65.9
06/21/2020,Cass,North Dakota,38017,2138,64,52,20,47.8772,-96.7898,63.7
06/22/2020,Cass,North Dakota,38017,2143,64,53,5,47.8772,-96.7898,64.8
06/23/2020,Cass,North Dakota,38017,2146,65,54,3,47.8772,-96.7898,67.2
06/24/2020,Cass,North Dakota,38017,2165,65,55,19,47.8772,-96.7898,69.1
06/25/2020,Cass,North Dakota,38017,2171,65,56,6,47.8772,-96.7898,72.8
06/26/2020,Cass,North Dakota,38017,2181,65,57,10,47.8772,-96.7898,74.3
06/27/2020,Cass,North Dakota,38017,2193,65,58,12,47.8772,-96.7898,76.5
06/28/2020,Cass,North Dakota,38017,2208,66,59,15,47.8772,-96.7898,80.3
06/29/2020,Cass,North Dakota,38017,2233,66,60,25,47.8772,-96.7898,76.3
06/30/2020,Cass,North Dakota,38017,2245,66,61,12,47.8772,-96.7898,79.7
07/01/2020,Cass,North Dakota,38017,2260,66,62,15,47.8772,-96.7898,76.3
07/02/2020,Cass,North Dakota,38017,2277,66,63,17,47.8772,-96.7898,81.1
07/03/2020,Cass,North Dakota,38017,2295,66,64,18,47.8772,-96.7898,82.5
07/04/2020,Cass,North Dakota,38017,2323,66,65,28,47.8772,-96.7898,80.5
07/05/2020,Cass,North Dakota,38017,2334,66,66,11,47.8772,-96.7898,78.8
07/06/2020,Cass,North Dakota,38017,2351,66,67,17,47.8772,-96.7898,74
07/07/2020,Cass,North Dakota,38017,2358,69,68,7,47.8772,-96.7898,76.2
07/08/2020,Cass,North Dakota,38017,2373,70,69,15,47.8772,-96.7898,76
07/09/2020,Cass,North Dakota,38017,2402,70,70,29,47.8772,-96.7898,74.3
07/10/2020,Cass,North Dakota,38017,2421,70,71,19,47.8772,-96.7898,71.5
07/11/2020,Cass,North Dakota,38017,2442,72,72,21,47.8772,-96.7898,70.2
07/12/2020,Cass,North Dakota,38017,2464,72,73,22,47.8772,-96.7898,72.6
07/13/2020,Cass,North Dakota,38017,2492,72,74,28,47.8772,-96.7898,75.9
07/14/2020,Cass,North Dakota,38017,2503,73,75,11,47.8772,-96.7898,70
07/15/2020,Cass,North Dakota,38017,2522,73,76,19,47.8772,-96.7898,72.2
07/16/2020,Cass,North Dakota,38017,2547,73,77,25,47.8772,-96.7898,74
07/17/2020,Cass,North Dakota,38017,2584,73,78,37,47.8772,-96.7898,73.5
